"Actions","Ações"
"An error occurred while marking notification as read.","Ocorreu um erro ao marcar a notificação como lida."
"An error occurred while marking the messages as read.","Ocorreu um erro ao marcar as mensagem como lida."
"An error occurred while removing messages.","Ocorreu um erro ao excluir a mensagem."
"An error occurred while removing the message.","Ocorreu um erro ao excluir a mensagem."
"Are you sure?","Você tem certeza?"
"Date Added","Data de Entrada"
"Last Update","Última Atualização"
"Mark as Read","Marcar como Lido"
"Mark as read","Marcar como lido"
"Message","Mensagem"
"Messages Inbox","Caixa de Mensagens"
"Notifications","Notificações"
"Please select messages.","Selecione as mensagens."
"Read Details","Ler"
"Remove","Excluir"
"Severity","Nível de Importância"
"Show List","Exibir Lista"
"Show Toolbar","Exibir Barra de Ferramentas"
"The message has been marked as read.","A mensagem foi marcada como lida."
"The message has been removed.","A mensagem foi excluída."
"Total of %d record(s) have been marked as read.","Total de %d registro(s) marcados como lido."
"Total of %d record(s) have been removed.","Total de %d registros(s) excluídos."
"Unable to proceed. Please, try again.","Não foi possível processar. Tente novamente."
"Update Frequency","Frequência de Atualização"
"Use HTTPS to Get Feed","Usar HTTPS para obter Feed"
"Wrong message type","Erro no tipo de mensagem"
"critical","alto"
"major","médio"
"minor","baixo"
"notice","aviso"
