" The customer does not exist in the system anymore."," O cliente não faz mais parte do sistema."
" [deleted]"," [excluir]"
" and "," e "
"%s (Default Template from Locale)","%s (Template Padrão do Idioma)"
"%s cache type(s) disabled.","%s tipo(s) de cache desligado."
"%s cache type(s) enabled.","%s tipo(s) de cache ligado."
"%s cache type(s) refreshed.","%s tipo(s) de cache atualizados."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Para o tipo ""Servidor Local"" é preciso usar caminho relativo na instalação do Magento var/export ou var/import, ex. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Para EUA 2-letras no nome do estado)"
"(If left empty will be auto-generated)","(Se deixar em branco será gerado automaticamente)"
"(Leave empty for first spreadsheet)","(Deixe vazio para primeiro planilha)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produtos serão adicionados/atualizados para loja se a coluna 'store'(loja) estiver em branco ou for esquecida no arquivo de importação.)"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(Starting with)","(Inicie com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas campos mapeados serão importados. Quando mapeado, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Você precisa aumentar o limite de memória do php 'memory_limit' antes de alterar este valor)"
"(\\t for tab)","(\\t para tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Se a indexação estiver em execução, ela será interrompida e uma nova indexação será iniciada."
"* Required Fields","*Campos Obrigatórios"
"- Click on any of the time parts to increase it","- Clique sobre ela a qualquer momento para aumentá-la"
"- Hold mouse button on any of the above buttons for faster selection.","- Segure o botão do mouse em qualquer um dos botões acima para selecionar rapidamente."
"- Use the %s buttons to select month","- Use o %s botão para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use o %s, %s botão para selecionar o ano"
"- or Shift-click to decrease it","- ou Shift-clique para diminuir"
"- or click and drag for faster selection.","- ou clique e arraste para selecionar rapidamente."
"-- Not Selected --","Não Selecionado"
"-- Please Select --","Selecione..."
"-- Please Select Billing Agreement--","Selecione Termos de Cobrança"
"-- Please Select a Category --","Selecione uma Categoria..."
"-- Please select --","Selecione..."
"--Please Select--","Selecione..."
"1 Hour","1 Hora"
"12 Hours","12 Horas"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Horas"
"24 Hours","24 Horas"
"24h","24h"
"2YTD","Últimos 2 Anos"
"6 Hours","6 Horas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Erro 404</h1><p>Página não encontrada.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> solicita acesso à sua conta"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atenção</strong>: Captcha diferencia maiúsculas e minúsculas."
"A user with the same user name or email aleady exists.","Já existe um usuário com mesmo login ou email."
"API Key","API Chave"
"API Key Confirmation","API Chave de Confirmação"
"ASCII","ASCII"
"Abandoned Carts","Carrinhos Abandonados"
"About the calendar","Sobre o calendário"
"Access Denied","Acesso Negado"
"Access denied","Acesso negado"
"Access denied.","Acesso negado."
"Account Created in:","Loja:"
"Account Created on (%s):","Conta Criada em (%s):"
"Account Created on:","Cadastro:"
"Account Information","Informações de Conta"
"Account Status","Status da Conta"
"Account status","Status da Conta"
"Action","Ação"
"Actions","Ações"
"Actions XML","Bloco XML"
"Active","Ativo"
"Active From","Ativar Em"
"Active To","Ativer Ate"
"Add","Adicionar"
"Add Exception","Adicionar Exceção"
"Add Field Mapping","Adicionar Campo"
"Add Field with URL:","Adicionar Campo com URL:"
"Add New","Adicionar Novo"
"Add New Image","Adicionar Nova Imagem"
"Add New Profile","Criar Modelo"
"Add New Role","Criar Nível de Acesso"
"Add New Template","Criar Template"
"Add New URL Rewrite","Nova Reescrita de URL"
"Add New User","Criar Usuário"
"Add New Variable","Criar Variável"
"Add Products","Adicionar Produtos"
"Add URL Rewrite","Criar URL"
"Add URL Rewrite for a Category","Adicionar Reescrita de URL para uma Categoria"
"Add URL Rewrite for a Product","Adicionar Reescrita de URL para um Produto"
"Add after","Adicionar depois"
"Additional Cache Management","Gerenciamento de Cache Adicional"
"Address Type:","Tipo de Endereço:"
"Admin","Admin"
"Advanced Admin Section","Seção Avançada de Admin"
"Advanced Profiles","Perfil Personalizado"
"Advanced Section","Seções Avançadas"
"After authorization application will have access to you account.","Depois que o aplicativo for autorizado ele terá acesso a sua conta."
"All","Todos"
"All Allowed Countries","Todos os Países"
"All Cache","Todo o Cache"
"All Files","Todos os Arquivos"
"All Reviews","Todos os Comentários"
"All Store Views","Todas as Lojas"
"All Tags","Todas as Tags"
"All Websites","Todos os Websites"
"All countries","Todos os países"
"All fields","Todos os campos"
"All possible rates were fetched, please click on ""Save"" to apply","Todas as tarifas possíveis foram encontradas, clique em ""Salvar"" para enviar"
"All rates were fetched, please click on ""Save"" to apply","Todas as tarifas foram encontradas, clique em ""Salvar"" para enviar"
"All valid rates have been saved.","Todos valores cotados foram salvos."
"Always (during development)","Sempre (durante desenvolvimento)"
"Amounts","Acumulado"
"An error has occured while syncronizing media storages.","Ocorreu um erro ao sincronizar dados de mídias armazenados."
"An error occurred while clearing the JavaScript/CSS cache.","Ocorreu um erro ao limpar o cache de JavaScript/CSS."
"An error occurred while clearing the configurable swatches image cache.","Ocorreu um erro ao limpar o cache de imagens do swatches."
"An error occurred while clearing the image cache.","Ocorreu um erro ao limpar o cache de imagens."
"An error occurred while deleting URL Rewrite.","Ocorreu um erro ao excluir Reescrita de URL."
"An error occurred while deleting email template data. Please review log and try again.","Ocorreu um erro ao excluir o template de email. Analise o log e tente novamente."
"An error occurred while deleting record(s).","Ocorreu um erro ao excluir registro(s)."
"An error occurred while deleting this role.","Ocorreu um erro ao excluir este cargo."
"An error occurred while deleting this set.","Ocorreu um erro ao excluir este grupo."
"An error occurred while deleting this template.","Ocorreu um erro ao excluir este template."
"An error occurred while finishing process. Please refresh the cache","Ocorreu um erro ao finalizar o processo. Atualize o cache"
"An error occurred while rebuilding the CatalogInventory Stock Status.","Ocorreu um erro ao reconstruir o status de estoque da CatalogInventory."
"An error occurred while rebuilding the catalog index.","Ocorreu um erro ao reconstruir o índice do catálogo."
"An error occurred while rebuilding the flat catalog category.","Ocorreu um erro ao reconstruir o catálogo de categorias flat."
"An error occurred while rebuilding the flat product catalog.","Ocorreu um erro ao reconstruir o catálogo de produtos flat."
"An error occurred while rebuilding the search index.","Ocorreu um erro ao reconstruir o índice de busca."
"An error occurred while refreshing the Catalog Rewrites.","Ocorreu um erro ao atualizar a Reescrita de Catálogos."
"An error occurred while refreshing the Layered Navigation indices.","Ocorreu um erro ao atualizar o índice da Camada de Navegação."
"An error occurred while refreshing the catalog rewrites.","Ocorreu um erro ao atualizar a reescrita de catálogos."
"An error occurred while refreshing the layered navigation indices.","Ocorreu um erro ao atualizar o índice de camada de navegação."
"An error occurred while saving URL Rewrite.","Ocorreu um erro ao salvar Reescrita de URL."
"An error occurred while saving account.","Ocorreu um erro ao salvar conta."
"An error occurred while saving review.","Ocorreu um erro ao salvar depoimento."
"An error occurred while saving the customer.","Ocorreu um erro ao salvar cliente."
"An error occurred while saving this configuration:","Ocorreu um erro ao salvar esta configuração:"
"An error occurred while saving this role.","Ocorreu um erro ao salvar este cargo."
"An error occurred while saving this template.","Ocorreu um erro ao salvar este template."
"An error occurred while updating the selected review(s).","Ocorreu um erro ao atualizar os depoimentos selecionados."
"Any","Qualquer"
"Any Attribute Set","Qualquer Conjunto de Atributos"
"Any Group","Qualquer Grupo"
"Any Status","Qualquer Status"
"Any Store","Qualquer Loja"
"Any Type","Qualquer Tipo"
"Any Visibility","Qualquer Visibilidade"
"Any data created since the backup was made will be lost including admin users, customers and orders.","Qualquer informação criada após o backup será perdido, incluindo usuários administradores, clientes, e pedidos."
"Apply To Products","Aplicar nos Produtos"
"Archive file name:","Nome do arquivo:"
"Are you sure that you want to delete this template?","Deseja realmente excluir este template?"
"Are you sure that you want to strip tags?","Deseja realmente remover as tags?"
"Are you sure you want to do this?","Deseja realmente fazer isso?"
"Are you sure you want to proceed?","Deseja realmente continuar?"
"Area","Área"
"As low as:","Menor preço:"
"Assigned","Atribuído"
"Associated Tags","Tags Associadas"
"Attribute Set Name:","Nome do Grupo de Atributo:"
"Attributes","Atributos"
"Authorization confirmed","Autorização confirmada"
"Authorize","Autorizar"
"Authorize application","Autorizar aplicativo"
"Authorized OAuth Tokens","Tokens OAuth Autorizados"
"Automatic (equalize price ranges)","Automático (equalizar gama de preços)"
"Automatic (equalize product counts)","Automático (equalizar contagem de produtos)"
"Available Product Listing Sort By","Ordem de Listagem Disponível p/ Produto"
"Average Order Amount","Gasto Médio"
"Average Orders","Média dos Pedidos"
"BINARY","BINÁRIO"
"Back","Voltar"
"Back to Login","Voltar"
"Backup","Cópia de Segurança (Backup)"
"Backup Name","Nome do Backup"
"Backup options","Opções de backup"
"Backups","Backups"
"Base currency","Moeda Base"
"Bcc","Bcc"
"Bestsellers","Mais Vendidos"
"Billing Address","Endereço de Cobrança"
"Billing Address: ","Endereço de Cobrança: "
"Billing Agreement","Termo de Cobrança"
"Billing Agreements","Termos de Cobrança"
"Block Information","Bloco de Informação"
"Both (without and with tax)","Ambos (com e sem imposto)"
"Both IPN and PDT","Ambos IPN e PDT"
"Browse Files...","Procurar Arquivos..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pacotes com preços dinâmicos não podem ter opções de campos personalizados. Opções não serão salvas."
"CMS","CMS"
"CRITICAL","PERIGOSO"
"CSV","CSV"
"CSV / Tab separated","CSV / Separado por Delimitador"
"Cache Control","Controle de Cache"
"Cache Control (beta)","Controle de Cache (beta)"
