"Access denied.","Acesso negado."
"Can not find webservice adapter.","Adaptador para webservice não encontrado."
"Client Session Timeout (sec.)","Tempo de Sessão do Cliente (seg.)"
"Default Response Charset","Charset Padrão de Resposta"
"Email","Email"
"Enable WSDL Cache","Habilitar WSDL Cache"
"General Settings","Configurações Gerais"
"Invalid webservice adapter specified.","Adaptador para webservice informado é inválido."
"Invalid webservice handler specified.","Controle de webservice informado é inválido."
"Magento Core API","API Core Magento"
"Magento Core API Section","Seção API do Magento Core"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Regras"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Usuários"
"Unable to login.","Não foi possível acessar a conta."
"User Name","Nome de Usuário"
"WS-I Compliance","WS-I Compliance"
"Web Services","Web Services"
"Your account has been deactivated.","Sua conta foi desativada."
