"%s","%s"
"%s role is a special one and can\'t be changed.","Cargo %s é especial e não pode ser alterado."
"%s role is a special one and can\'t be deleted.","Cargo %s é especial e não pode ser excluido."
"%s role is protected.","Cargo %s é intocável."
"ACL Attribute Rules","Regras de Atributos ACL"
"ACL Attributes Information","Informação de Atributos ACL"
"Add","Adicionar"
"Add Admin Role","Novo Cargo Admin"
"Add New Role","Novo Cargo"
"Address Type","Tipo de Endereço"
"Admin","Admin"
"Allow","Permitir"
"An error occurred while deleting the role.","Ocorreu um erro ao excluir cargo."
"An error occurred while saving attribute rules.","Ocorreu um erro ao salvar regras do atributo."
"An error occurred while saving role.","Ocorreu um erro ao salvar cargo."
"Api Rules Information","Informação de API de Regras"
"Assigned","Assinado"
"Associate to Website","Associar ao Website"
"Attribute Rules Information","Informação de Regras do Atributo"
"Attribute Set","Grupo de Atributos"
"Attributes","Atributos"
"Automatically Return Credit Memo Item to Stock","Atualizar Estoque Automaticamente quando houver Reembolso"
"Back","Voltar"
"Backorders","Pedido Aguardando Estoque"
"Base Currency","Moeda Base"
"Base Customer Balance","Saldo Base de Clientes"
"Base Discount","Desconto Base"
"Base Discount Amount","Total de Desconto Base"
"Base Item Subtotal","Subtotal Base do Produto"
"Base Item Subtotal Including Tax","Subtotal Base do Produto Incluindo Imposto"
"Base Original Price","Preço Original Base"
"Base Price","Preço Base"
"Base Price Including Tax","Preço Base Incluindo Imposto"
"Base Shipping","Entrega Base"
"Base Shipping Discount","Desconto Entrega Base"
"Base Shipping Tax","Imposto de Entrega Base"
"Base Subtotal","Subtotal Base"
"Base Subtotal Including Tax","Subtotal Base Incluindo Imposto"
"Base Tax Amount","Total de Imposto Base"
"Base Total Due","Total Devido Base"
"Base Total Paid","Total Pago Base"
"Base Total Refunded","Total Reembolsado Base"
"Buy Now URL","URL Comprar Agora"
"Can Be Divided into Multiple Boxes for Shipping","Pode Ser Dividido em Diversas Caixas para Entrega"
"Canceled Qty","Qtd Cancelado"
"Catalog","Catálogo"
"Catalog Product","Catálogo de Produtos"
"CatalogInventory","Inventário"
"Category ID","ID da Categoria"
"City","Cidade"
"Company","Profissão"
"Country","País"
"Coupon Code","Cupom de Desconto"
"Create","Criar"
"Create Permanent Redirect for old URL","Redirecionar para URL antiga"
"Created From","Criado"
"Customer","Cliente"
"Customer Address","Endereço Cliente"
"Customer Address ID","ID Endereço Cliente"
"Customer Balance","Saldo do Cliente"
"Customer First Name","Nome Cliente"
"Customer ID","ID Cliente"
"Customer Last Name","Sobrenome Cliente"
"Customer Middle Name","Apelido Cliente"
"Customer Prefix","Prefixo Cliente"
"Customer Suffix","Sufixo Cliente"
"Default Image","Imagem Padrão"
"Delete","Excluir"
"Deny","Negado"
"Disable automatic group change based on VAT ID","Desabilitar automaticamente alteração de grupos baseados em ID VAT"
"Discount","Desconto"
"Discount Amount","Valor do Desconto"
"Discount Description","Descrição do Desconto"
"Edit","Editar"
"Edit %s ACL attribute rules","Editar %s regras do atributo ACL"
"Edit Role","Editar Regra"
"Edit attribute rules for %s Role","Editar regras de atributos para %s Cargo"
"Email","Email"
"Enable Qty Increments","Habilitar Qtd Mínima"
"Exclude","Excluir"
"File Content","Conteúdo do Arquivo"
"File MIME Type","Tipo de Arquivo MIME"
"File Name","Nome do Arquivo"
"Final Price With Tax","Preço Final com Imposto"
"Final Price Without Tax","Preço Final sem Imposto"
"First Name","Nome"
"Gift Message","Mensagem p/ Presente"
"Grand Total","Valor Total"
"Grand Total to Be Charged","Valor Total a Ser Cobrado"
"Group","Grupo"
"Guest","Visitante"
"Has Custom Options","Possui Opções Personalizadas"
"ID","ID"
"Inventory Data","Dados de Inventário"
"Invoiced Qty","Qtd Faturada"
"Is Confirmed","Confirmado"
"Is Default Billing Address","Usar Endereço de Cobrança Padrão"
"Is Default Shipping Address","Usar Endereço de Entrega Padrão"
"Item ID","ID Produto"
"Item Subtotal","Subtotal Produto"
"Item Subtotal Including Tax","Subtotal Produto Incluindo Imposto"
"Label","Legenda"
"Last Logged In","Último Acesso Em"
"Last Name","Sobrenome"
"Low Stock Date","Data Baixo Estoque"
"Manage Stock","Gerenciar Estoque"
"Maximum Qty Allowed in Shopping Cart","Qtd Máxima Permitida no Carrinho"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida no Carrinho"
"New Role","Novo Cargo"
"Notify for Quantity Below","Avisar quando Quantidade Baixar"
"OAuth","OAuth"
"Order","Pedido"
"Order Addresses","Endereços do Pedido"
"Order Comments","Comentários do Pedido"
"Order Currency","Moeda do Pedido"
"Order Date","Data do Pedido"
"Order ID","ID do Pedido"
"Order ID (internal)","ID do Pedido (interno)"
"Order Item ID","ID Produto Pedido"
"Order Items","Produtos do Pedido"
"Order Status","Status do Pedido"
