"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Regra de Preço baseado no atributo ""%s"" foi desabilitado."
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Criar Regra"
"An error occurred while deleting the rule. Please review the log and try again.","Ocorreu um erro ao excluir a regra. Consulte o arquivo de log e tente novamente."
"An error occurred while saving the rule data. Please review the log and try again.","Ocorreu um erro ao salvar a regra. Consulte o arquivo de log e tente novamente."
"Apply","Aplicar"
"Apply Rules","Aplicar Regras"
"Attribute Set","Grupo de Atributos"
"By Fixed Amount","Reduzir do Valor do Produto"
"By Percentage of the Original Price","Porcentagem Sobre Valor do Produto"
"Catalog","Catálogo"
"Catalog Price Rule","Regra de Preço"
"Catalog Price Rules","Regras de Preços"
"Category","Categoria"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para aplicar a todos os produtos)"
"Conditions Combination","Combinar Condições"
"Customer Groups","Grupo de Clientes"
"Date Expire","Expira Em"
"Date From","Da Data"
"Date Start","Data Início"
"Date To","Para Data"
"Description","Descrição"
"Discount Amount","Valor do Desconto"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Enable Discount to Subproducts","Aplicar Desconto em Subprodutos"
"Expiration Date","Finaliza Em"
"From Date","Iniciar em"
"General Information","Informação Geral"
"ID","ID"
"Inactive","Desativado"
"New Rule","Nova Regra"
"No","Não"
"Options","Opções"
"Priority","Prioridade"
"Product Attribute","Atributo do Produto"
"Promotions","Promoções"
"Rule Information","Informações da Regra"
"Rule Name","Nome da Regra"
"Save and Apply","Salvar e Aplicar"
"Save and Continue Edit","Salvar e Continuar"
"Start Date","Inicia em"
"Status","Status"
"Stop Further Rules Processing","Aplicar Somente esta Regra"
"The rule has been deleted.","A regra foi excluída."
"The rule has been saved.","A regra foi salva."
"The rules have been applied.","As regras foram aplicadas."
"The rules have been applied.","A regra foi aplicada."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Algumas regras foram alteradas mas não foram aplicadas. Apnas usuarios com acesso exclusivo podem aplicar regras."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Algumas regras foram alteradas mas não foram aplicadas. Clique em Aplicar Regras para validar imediatamente no catálogo."
"This rule no longer exists.","Esta regra não existe mais."
"To Date","Finalizar em"
"To Fixed Amount","Valor Informado"
"To Percentage of the Original Price","Apenas o Valor da Porcentagem"
"Type","Tipo"
"Unable to apply rules.","Não foi possível aplicar as regras."
"Unable to find a rule to delete.","Não foi possível encontrar a regra para excluir."
"Update Prices Using the Following Information","Atualizar Preços Usando a Seguinte Informação"
"Update product's %s %s: %s","Atualizar produtos %s %s: %s"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Erro ao especificar a regra."
"Yes","Sim"
