"%s and greater","%s e maior"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> encontrados usando os seguinte critérios"
"Advanced Search","Busca Avançada"
"Advanced Search Form","Formulário de Busca Avançada"
"Advanced Search Result","Resultado da Busca Avançada"
"All","Todos"
"Applies for ""Like"" search type only.","Aplicar apenas ""Like"" nas buscas."
"Apply Layered Navigation if Search Results are Less Than","Aplicar Camada de Navegação se resultados de pesquisas forem menor que"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Alterar atributo de configuração relacionado ao índice de pesquisa. Execute o processo de <a href=""%s"">Reindexação dos Índices de Pesquisa</a>."
"Autogenerated Site Map","Gerar Sitemap Automaticamente"
"Catalog Advanced Search","Busca Avançada"
"Catalog Search","Busca de Catálogo"
"Catalog Search Index","Sistema de Busca"
"Don't see what you're looking for?","Não sabe o que está procurando?"
"Enter ""0"" to enable layered navigation for any number of results.","Digite ""0"" para habilitar a camada de navegação para qualquer número de resultados."
"Go","Ir"
"Go to Home Page","Ir para Página Inicial"
"Grid","Tabela"
"Home","Início"
"List","Lista"
"Maximum Query Length","Máximo de Critérios"
"Maximum Query Words Count","Máximo de Palavras Permitidas"
"Maximum Search query length is %s. Your query was cut.","Máximo de critérios de pesquisa é %s. Alguns critérios foram ignorados."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Máximo de critérios de pesquisa é %1$s. Alguns critérios foram ignorados: %2$s."
"Minimal Query Length","Mínimo de Critérios"
"Minimum Search query length is %s","Mínimo de critérios é %s"
"Modify your search","Altere seus termos de pesquisa"
"No","Não"
"No items were found using the following search criteria.","Nenhum resultado encontrado usando esses filtros."
"Please specify at least one search term.","Informe um termo para pesquisa."
"Popular Search Terms","Termos Populares"
"Quick Search Form","Formulário de Busca Rápida"
"Rebuild Catalog product fulltext search index","Atualização de textos e palavras"
"Relevance","Relevância"
"Results","Resultados"
"Search","Buscar"
"Search Settings","Opções de Busca"
"Search Terms","Termos de Pesquisa"
"Search Type","Tipo de Busca"
"Search entire store here...","Procurar no site..."
"Search results for '%s'","Resultados para '%s'"
"Search results for: '%s'","Resultados para: '%s'"
"Search:","Buscar:"
"Specified date is invalid.","Data informada não é válida."
"Subscribe to Feed","Assinar Feed"
"There are no search terms available.","Não há termos de consulta disponíveis."
"Yes","Sim"
"Your search returns no results.","Nenhum resultado encontrado."
"up to %s","até %s"
