"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho."
"%s was updated in your shopping cart.","%s seu carrinho foi atualizado."
"(Excl. Tax)","(Excl. Taxas)"
"(Incl. Tax)","(Incl. Taxas)"
"* Required Fields","*Campos Obrigatórios"
"Add New Address","Adicionar Endereço"
"Add New Condition","Criar Termo"
"Add coupon code for shopping cart","Adicionado cupom promocional ao seu carrinho"
"Add gift messages to shopping cart","Adicionar mensagem p/ presente no carrinho"
"Add product to shopping cart","Produto adicionado ao carrinho"
"Add product(s) to shopping cart","Produtos adicionados ao carrinho"
"Add to Cart","Comprar"
"Add to Compare","Comparar Produtos"
"Add to Wishlist","Adicionar aos Favoritos"
"Additional Product Info","Informação Adicional do Produto"
"Address","Endereço"
"Address %s of %s","Endereço %s de %s"
"After Adding a Product Redirect to Shopping Cart","Após Adicionar Produto Redirecionar p/ Carrinho"
"Allow Guest Checkout","Permitir Checkout como Visitante"
"Already registered?","Já possui uma conta?"
"An error occurred in the process of payment","Ocorreu um erro ao processar o pagamento"
"An error occurred while deleting this condition.","Ocorreu um erro ao excluir esta condição."
"An error occurred while saving this condition.","Ocorreu um erro ao salvar esta condição."
"Apply","Aplicar"
"Apply Coupon","Usar Cupom"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Deseja realmente sair? Será preciso reiniciar todo processo de checkout novamente."
"Are you sure you would like to remove this item from the shopping cart?","Deseja realmente retirar este produto do seu carrinho?"
"Back","Voltar"
"Back to Billing Information","Voltar para Informações de Cobrança"
"Back to Select Addresses","Voltar para Selecionar Endereço"
"Back to Shipping Information","Voltar para Informações de Entrega"
"Back to Shopping Cart","Voltar para Carrinho de Compras"
"Based on your selection, you may be interested in the following items:","Aproveite Nossas Ofertas:"
"Billing Address","Endereço de Cobrança"
"Billing Information","Informações de Cobrança"
"Billing Information - %s","Informações de Cobrança - %s"
"Can not remove the item.","Não foi possível remover o item."
"Can not save item.","Não foi possível salvar o item."
"Cancel","Cancelar"
"Cancel Coupon","Cancelar Cupom"
"Cannot add item to the shopping cart.","Não foi possível adicionar item ao carrinho."
"Cannot add the item to shopping cart","Não foi possível adicionar o item ao carrinho"
"Cannot add the item to shopping cart.","Não foi possível adicionar o item ao carrinho."
"Cannot apply the coupon code.","O cupom não foi resgatado."
"Cannot configure product.","Não foi possível configurar o produto."
"Cannot open the overview page","Não foi possível abrir a página de visualização"
"Cannot process the item.","Não foi possível processar o produto."
"Cannot remove the item.","Não foi possível remover o produto."
"Cannot update shopping cart.","Não foi possível atualizar valores."
"Cannot update the item.","Não foi possível atualizar o produto."
"Card Verification Number Visual Reference","Referência Visual p/ Verificação de Número do Cartão"
"Cart","Carrinho"
"Cart Product API","API Produto no Carrinho"
"Cart Subtotal:","Subtotal:"
"Change","Alterar"
"Change Billing Address","Alterar Endereço de Cobrança"
"Checkbox Text","Texto do Checkbox"
"Checkout","Fechar Pedido"
"Checkout Conditions","Condições do Pedido"
"Checkout Forms Extra","Forms Extra do Pedido"
"Checkout Method","Identificação"
"Checkout Options","Opções ao Fechar Pedido"
"Checkout Progress Wrapper","Progresso de Checkout Completo"
"Checkout Section","Sessão Pagamento do Pedido"
"Checkout Terms and Conditions","Exibir Termos e Condições"
"Checkout as Guest","Fechar Pedido como Visitante"
"Checkout as a Guest or Register","Criar Conta"
"Checkout with Multiple Addresses","Finalizar Pedido com Vários Endereços"
"City","Cidade"
"Clear Shopping Cart","Esvaziar Carrinho"
