"A block identifier with the same properties already exists in the selected store.","Um identificador de bloco com as mesmas propriedades já existe na loja selecionada."
"A directory with the same name already exists. Please try another folder name.","Já existe um diretório com este nome. Tente usar outro nome."
"A page URL key for specified store already exists.","A URL da página já existe nesta loja."
"Action","Ação"
"Add New Block","Criar Bloco"
"Add New Page","Criar Página"
"All Countries","Todos os Países"
"An error occurred while saving the page.","Ocorreu um erro ao salvar a página."
"Anchor Custom Text","Texto Âncora Personalizado"
"Anchor Custom Title","Título Âncora Personalizado"
"Are you sure you want to delete current folder?","Você tem certeza que deseja excluir a pasta atual?"
"Are you sure you want to delete the selected file?","Você tem certeza que deseja excluir o arquivo selecionado?"
"Block","Bloco"
"Block Information","Informações de Bloco"
"Block Title","Título"
"CMS","CMS"
"CMS Content Wrapper","CMS Conteúdo Fechado"
"CMS Home Page","CMS Página Inicial"
"CMS No Cookies Page","CMS Não Permite Cookies"
"CMS No Route Page","CMS Página Não Encontrada"
"CMS No-Route Page","CMS Página Não Encontrada"
"CMS Page","CMS Página"
"CMS Page Link","CMS Página Linkada"
"CMS Page Link Block Template","CMS Moldeo de Bloco p/ Página Linkada"
"CMS Page Link Inline Template","CMS Modelo Inline de Página Linkada"
"CMS Pages (All)","CMS Páginas (Todos)"
"CMS Static Block","CMS Bloco Estático"
"CMS Static Block Default Template","CMS Modelo Padrão de Bloco Estático"
"Cannot create new directory.","Não foi possível criar o diretório."
"Cannot delete directory %s.","Não foi possível excluir o diretório %s."
"Cannot delete root directory %s.","Não foi possível excluir o diretório raiz %s."
"Cannot upload file.","Não foi possível enviar o arquivo."
"Collapse All","Recolher"
"Content","Conteúdo"
"Content Heading","Título do Cabeçalho"
"Content Management","Gerenciador de Conteúdo"
"Contents of a Static Block","Conteúdo do Bloco Estático"
"Create Folder...","Criar Pasta..."
"Custom Design","Visual Personalizado"
"Custom Design From","Visual Personalizado de"
"Custom Design To","Visual Personalizado para"
"Custom Layout","Leiaute Personalizado"
"Custom Layout Update XML","Leiaute Personalizado por Atualização XML"
"Custom Theme","Tema Personalizado"
"Customer Tax Class Information","Informação de Grupo de Imposto p/ Cliente"
"Date Created","Data Criação"
"Delete Block","Excluir Bloco"
"Delete File","Excluir Arquivo"
"Delete Folder","Excluir Pasta"
"Delete Page","Excluir Página"
"Description","Descrição"
"Design","Design"
"Disabled","Desabilitado"
"Disabled Completely","Completamente Desabilitado"
"Disabled by Default","Desabilitado por Padrão"
"Edit Block","Editar Bloco"
"Edit Block '%s'","Editar Bloco '%s'"
"Edit Page","Editar Página"
"Edit Page '%s'","Editar Página '%s'"
"Enable WYSIWYG Editor","Habilitar Editor WYSIWYG"
"Enabled","Habilitado"
"Enabled by Default","Habilitado por Padrão"
"Expand All","Expandir"
"General Information","Informações Gerais"
"Go to Home Page","Ir p/ Página Inicial"
"Home","Início"
"ID","ID"
"Identifier","Identificador"
"If empty, the Page Title will be used","Se vazio, o Título da Página será usado"
"Images (%s)","Imagens (%s)"
"Insert File","Inserir Arquivo"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nome da pasta inválido. Utilize somente alfanuméricos, underlines e traços."
"Keywords","Palavras-Chaves"
"Last Modified","Última Modificação"
"Layout","Leiaute"
"Layout Update XML","Atualização de Leiaute por XML"
"Link to a CMS Page","Link para uma Página CMS"
"Manage Pages","Gerenciar Páginas"
"Media Gallery","Galeria de Imagens"
"Media Storage","Armazenar Imagem"
"Meta Data","Meta Tags da Página"
"Meta Description","Descrição da Página"
"Meta Keywords","Palavras-Chave"
"New Block","Criar Bloco"
"New Folder Name:","Criar Pasta:"
"New Page","Criar Página"
"No files found","Nenhum arquivo encontrado"
"Page Information","Informações da Página"
"Page Layout","Leiaute da Página"
"Page Status","Status da Página"
"Page Title","Título da Página"
"Pages","Páginas"
"Product Tax Class Information","Informações de Grupo de Imposto p/ Produto"
"Redirect to CMS-page if Cookies are Disabled","Redirecionar para página CMS se Cookie estiver Desativado"
"Relative to Website Base URL","Relativo à URL Base do seu site"
"Save Block","Salvar"
"Save Page","Salvar"
"Save Process","Salvar Processo"
"Select Block...","Selecionar..."
"Select Page...","Selecionar..."
"Show Breadcrumbs for CMS Pages","Exibir Migalhas em Páginas Estáticas CMS"
"Show Notice if JavaScript is Disabled","Exibir Alerta se o Javascript Estiver Desabilitado"
"Static Blocks","Blocos Estáticos"
"Status","Status"
"Storage Root","Armazenamento"
"Store View","Visão"
"Template","Modelo"
"The block has been deleted.","O bloco foi excluído."
"The block has been saved.","O bloco foi salvo."
"The directory %s is not writable by server.","O diretório %s não possui permissão de escrita no servidor."
"The page URL key cannot consist only of numbers.","A URL da página não pode conter apenas números."
"The page URL key contains capital letters or disallowed symbols.","A URL da página contém letras maiúsculas ou símbolos não permitidos."
"The page has been deleted.","A página foi excluída."
"The page has been saved.","A página foi salva."
"The static block content cannot contain  directive with its self.","O conteúdo do bloco estático não pode conter diretiva pra ele mesmo."
"This block no longer exists.","Este bloco não existe mais."
"This page no longer exists.","Esta página não existe mais."
"Title","Título"
"URL Key","URL"
"Unable to find a block to delete.","Não foi possível encontrar um bloco para excluir."
"Unable to find a page to delete.","Não foi possível encontrar uma página para excluir."
"WYSIWYG Options","Opções WYSIWYG"
"px.","px."
