"-- Please Select --","Selecione"
"Add to Cart","Comprar"
"Choose an Option...","Selecione..."
"Configurable Swatches","Configurar Swatches"
"Enabled","Habilitado"
"General Settings","Opções de Configuração"
"Height","Altura"
"In Stock","Em estoque"
"Innermost dimensions, not including border, in pixels","Dimensão interna, sem considerar bordas, em pixels"
"Out of Stock","Esgotado"
"Previous","Anterior"
"Product Attribute to Use for Swatches in Product Listing","Atributo para Usar Swatches na Listagem dos Produtos"
"Product Attributes to Show as Swatches in Product Detail","Atributos para Exibir Swatches na Página do Produto"
"Remove This Item","Remover"
"Swatch Dimensions in Layered Navigation","Swatch Dimensão no Menu de Filtros"
"Swatch Dimensions in Product Listing","Swatch Dimensão na Listagem de Produtos"
"Swatch Dimensions on Product Detail Page","Swatch Dimensão na Página de Detalhes do Produto"
"Width","Largura"
