"%s","%s"
"%s already exist.","%s já existe."
"%s already exists.","%s já existem."
"-- Please Select --","Selecione..."
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Atenção!</strong> Quando usar CDN, em alguns casos o JavaScript pode não funcionar corretamente se CDN não estiver no subdomínio"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Atenção!</strong> Quando usar o código da loja nas URLS, em alguns casos o sistema pode não funcionar corretamente se as URLs de outros sistemas não usarem o código da loja (ex. PayPal etc.)."
"A category object is required for determining the product request path.","Uma categoria é obrigatória para determinar o caminho do produto."
"Add Block Names to Hints","Exibir Nome dos Blocos"
"Add Secret Key to URLs","Chave de Segurança nas URLs"
"Add Store Code to Urls","Incluir Código da Loja nas URLs"
"Admin","Administrativo"
"Admin Base URL","URL Base da Administração"
"Admin User Emails","Emails Administrativos"
"Advanced","Avançado"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","Depois de selecionar um novo local para armazenar as mídias, clique no botão Sincronizar para transferir todas as mídias. As mídias não estarão disponíveis no novo local até que todo processo de sincronização esteja finalizado."
"Allow Countries","Países Permitidos"
"Allow Magento Backend to run in frame","Permitir Magento Backend rodar em frame"
"Allow Magento Frontend to run in frame","Permitir Magento Frontend rodar em frame"
"Allow Symlinks","Permitir Symlinks"
"Allowed IPs (comma separated)","IP's Permitidos (separe por vírgula)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipos de arquivos permitidos: ICO, PNG, GIF, JPEG, APNG, SVG. Nem todos os navegadores suportam todos os formatos!"
"Allows customers to stay logged in when switching between different stores.","Permitir que o cliente permaneça logado ao mudar de Loja."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texto alternativo para links de próxima página. Se vazio, a imagem de seta será usado."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texto alternativo para links de página anterior. Se vazio, a imagem de seta será usado."
"An error occurred while saving. Please review the error log.","Ocorreu um erro ao tentar salvar. Consulte o log de erro."
"Anchor Text for Next","Texto p/ Próxima Página"
"Anchor Text for Previous","Texto p/ Página Anterior"
"Anchor symbol (#) is not supported in request path","Símbolo âncora (#) não é suportado no caminho solicitado"
"Anchor symbol (#) is not supported in url rewrite suffix","Símbolo âncora (#) não é suportado no sufixo da url amigável"
"Are you sure?","Você tem certeza?"
