" or "," ou "
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' parece ser um servidor DNS mas não foi possível extrair a parte TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' parece ser um servidor DNS mas não foi encontrado um TLD na base de conhecimento"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' parece ser um servidor DNS mas não coincide com hostname schema para TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' parece ser um servidor DNS porém contém um dash em uma posição inválida"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' parece ser um servidor DNS mas a notação punycode informada não pode ser decodificada"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' parece ser o nome de uma rede local porém não é um nome permitido"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' parece ser um endereço de IP, mas endereço de IP não é permitido"
"'%value%' does not appear to be a valid local network name","'%value%' não parece ser um nome de rede local válido"
"* Required Fields","*Campos Obrigatórios"
"ALL GROUPS","TODOS OS GRUPOS"
"Account Dashboard","Painel Geral"
"Account Information","Informações de Conta"
"Account Sharing Options","Opções de Compartilhamento"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Confirme seu cadastro. Verifique o link enviado por Email. Para re-enviar o Email de confirmação <a href=""%s"">clique aqui</a>."
"Action","Ação"
"Add New Address","Adicionar Endereço"
"Add New Customer","Criar Cliente"
"Add New Customer Group","Criar Grupo"
"Added From","Adicionado em"
"Additional Address Entries","Outros Endereços"
"Address","Endereços"
"Address Book","Meu Endereço"
"Address Books","Meus Endereços"
"Address Information","Informações de Endereço"
"Address Templates","Templates de Endereço"
"Addresses","Endereços"
"Admin","Admin"
"All","Todos"
"All Store Views","Todas as Visões"
"All countries","Todos os Países"
"Always optional.","Sempre opcional."
"Amount","Valor Pago"
"An error occurred while deleting the address.","Ocorreu um erro ao tentar excluir o endereço."
"An error occurred while retrieving the option value: %s.","Ocorreu um erro ao tentar recuperar o valor da opção: %s."
