"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Actions XML is not valid.","Ações do XML não são válidas."
"An error occurred while opening file: ""%s"".","Ocorreu um erro ao abrir o arquivo: ""%s""."
"Could not load file: ""%s"".","Arquivo não foi carregado: ""%s""."
"Could not save file: %s.","Arquivo não foi salvo: %s."
"Declared adapter %s was not found.","Adaptador %s não encontrado."
"Destination folder ""%s"" is not a directory.","Pasta ""%s"" não é um diretório."
"Destination folder ""%s"" is not writable.","Pasta ""%s"" não possui permissão."
"Done","Terminado"
"Dry run set, stopping execution.","Problema encontrado, execução interrompida."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Erro no mapeamento do campo: Lista de campos mapeados não está definido."
"File ""%s"" does not exist.","Arquivo ""%s"" não existe."
"Found %d rows.","Encontrado %d registros."
"Less than a minute","Menos de um minuto"
"Loaded successfully: ""%s"".","Carregado com sucesso: ""%s""."
"Memory Used: %s","Memória Usada: %s"
"Method ""%s"" not defined in adapter %s.","Método ""%s"" não definido no adaptador %s."
"Method ""%s"" was not defined in adapter %s.","Método ""%s"" não foi informado no adaptador %s."
"Please declare ""adapter"" and ""method"" nodes first.","Informe ""adaptador"" e ""método"" primeiro."
"Processed records: %s","Registros processados: %s"
"Profile with the same name already exists.","Já existe um perfil com este nome."
"Saved successfully: ""%s"" [%d byte(s)].","Salvo com sucesso: ""%s"" [%d byte(s)]."
"Sheet 1","Camada 1"
"Skip undefined row.","Ignorar registro."
"Starting %s :: %s","Iniciando %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","A pasta ""%s"" não existe ou diretório não possui permissão de escrita."
"Total records: %s","Total de registros: %s"
"hour","hora"
"hours","horas"
"minute","minuto"
"minutes","minutos"
