"""%s"" contains not only digit characters.","""%s"" não contem apenas digitos."
"""%s"" does not fit the entered date format.","""%s"" o formato da data não é compatível."
"""%s"" exceeds the allowed file size.","""%s"" ultrapassa o tamanho de arquivo permitido."
"""%s"" exceeds the allowed length.","""%s"" ultrapassa o tamanho permitido."
"""%s"" has not only alphabetic and digit characters.","""%s"" não contem apenas alfanuméricos e digitos."
"""%s"" has not only alphabetic characters.","""%s"" não contem apenas alfanuméricos."
"""%s"" height exceeds allowed value of %s px.","""%s"" altura ultrapassa o valor permitido de %s px."
"""%s"" invalid type entered.","""%s"" tipo informado é inválido."
"""%s"" is a required value.","""%s"" é um campo obrigatório."
"""%s"" is an empty string.","""%s"" é um valor em branco."
"""%s"" is not a valid URL.","""%s"" não é uma URL válida."
"""%s"" is not a valid date.","""%s"" não é uma data válida."
"""%s"" is not a valid email address.","""%s"" não é um email válido."
"""%s"" is not a valid file","""%s"" não é um arquivo válido"
"""%s"" is not a valid file extension.","""%s"" não é uma extensão de arquivo válida."
"""%s"" is not a valid file.","""%s"" não é um arquivo válido."
"""%s"" is not a valid hostname.","""%s"" não é um servidor válido."
"""%s"" is not a valid image format","""%s"" não é um formato de imagem válido"
"""%s"" length must be equal or greater than %s characters.","""%s"" deve ser igual ou maior que %s caracteres."
"""%s"" length must be equal or less than %s characters.","""%s"" deve ser igual ou menor que %s caracteres."
"""%s"" width exceeds allowed value of %s px.","""%s"" largura ultrapassa o valor permitido de %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' parece ser um servidor DNS, mas não é possível obter a informação TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' parece ser um servidor DNS, mas não é possível validar o TLD na base de conhecimento"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' parece ser um servidor DNS, mas não é possível validar o schema do servidor para o TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' parece ser um servidor DNS, mas contem uma barra em uma posição inválida"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' parece ser um servidor DNS, mas a notação punycode informado não pode ser decodificada"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' parece ser um nome de rede local, mas nomes de rede local não são permitidos"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' parece ser um endereço de IP, mas endereços de IP não são permitidos"
"'%value%' does not appear to be a valid URI hostname","'%value%' não parece ser um servidor URI válido"
"'%value%' does not appear to be a valid local network name","'%value%' não parece ser um nome de rede local válido"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' não possui uma estrutura esperada para um servidor DNS"
"A joint field with this alias (%s) is already declared","Um campo agrupado com o álias (%s) já foi declarado"
"Add Option","Adicionar Opção"
"An error occurred while loading a record, aborting. Error: %s","Ocorreu um erro ao carregar os dados, abortando. Erro: %s"
"An error occurred while loading the collection, aborting. Error: %s","Ocorreu um erro ao carregar a coleção, abortando. Erro: %s"
"An error occurred while saving a record, aborting. Error: ","Ocorreu um erro ao salvar dados, abortando. Erro: "
"Attempt to add an invalid object","Tentar adicionar um objeto inválido"
"Attribute '%s' used in configurable products","Atributo '%s' usado em produtos configurados"
"Attribute Code","Código do Atributo"
"Attribute Label","Legenda"
"Attribute Properties","Propriedades do Atributo"
"Attribute object is undefined","Objeto atributo não definido"
"Attribute set with the ""%s"" name already exists.","Atributo configurado com nome ""%s"" já existe."
"Attribute with the same code","Atributo com o mesmo código"
"Can\'t create table: %s","Não foi possível criar tabela: %s"
"Catalog Input Type for Store Owner","Formato do Campo p/ Lojista"
"Current module EAV entity is undefined","Grupo atual EAV não definido"
"Current module pathname is undefined","Grupo atual pathname não definido"
"Data integrity: No header row found for attribute","Integridade de Dados: Nenhum cabeçalho encontrado para o atributo"
"Date","Data"
"Decimal Number","Numérico Decimal"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Ordem de Listagem de Produtos Padrão não existe na lista de Ordem de Listagem de Produtos"
"Default Value","Valor Padrão"
"Default option value is not defined","Valor padrão para opção não foi informado"
"Delete","Excluir"
"Dropdown","Combobox"
"Email","Email"
"Entity collection expected.","Coleção de entidade esperada."
"Entity collections expected.","Coleções de entidade esperada."
"Entity instance is not defined","Instância de entidade não informada"
"Entity is not initialized","Entidade não foi inicializada"
"Entity object is undefined","Objeto entidade não informado"
"Failed to load node %s from config","Falha ao carregar nódulo %s da configuração."
"For internal use. Must be unique with no spaces.","Para uso interno. Precisa ser único e sem espaços"
"Form Element with the same attribute","Elemento Form com mesmo atributo"
"Form Fieldset with the same code","Campo do Form com mesmo código"
"Form Type with the same code","Tipo de Form com mesmo código"
"Form code is not defined","Código do Form não informado"
"Frontend label is not defined","Legenda do frontend não informado"
"Input Validation for Store Owner","Validação de Campo p/ Lojista"
"Integer Number","Numérico Inteiro"
"Invalid EAV attribute.","Inválido atributo EAV."
"Invalid alias, already exists in joint attributes","Álias inválido, já existe atributos agrupados"
"Invalid attribute name: %s","Nome de atributo inválido: %s"
"Invalid attribute requested: %s","Atributo solicitado é inválido: %s"
"Invalid attribute type","Tipo de atributo inválido"
"Invalid character encountered in increment ID: %s","Carácter encontrado no preenchimento do ID é inválido: %s"
"Invalid date","Data inválida"
"Invalid default date","Data padrão inválida"
"Invalid default decimal value","Valor decimal padrão inválido"
"Invalid entity specified","Entidade informada é inválida"
"Invalid entity supplied.","Entidade fornecida é inválida."
"Invalid entity supplied: %s.","Entidade fornecida inválida: %s."
"Invalid entity type","Tipo de entidade é inválido"
"Invalid entity_id, skipping the record.","Entity_id inválido, ignorando registro."
"Invalid entity_type specified: %s","Entity_type informado é inválido: %s"
"Invalid foreign key","Chave estrangeira inválida"
"Invalid form type.","Tipo de formulário inválido."
"Invalid joint fields","Campos agrupados são inválidos"
"Invalid store specified","Loja informada é inválida"
"Invalid type given. String expected","Tipo digitado é inválido. String esperada"
"Joined field with this alias is already declared","Campo agrupado com este álias já existe"
"Joint field or attribute expression with this alias is already declared","Campo agrupado ou expressão de atributos com este álias já existe"
"Letters","Letras"
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) ou Números (0-9)"
"Loaded %d records","Carregado %d registros"
"Maximum length of attribute code must be less then %s symbols","Tamanho máximo para código de atributo precisa ser menor que %s símbolos"
"Multiple Select","Múltiplas Seleções"
"No","Não"
"No options found in config node %s","Nenhuma opção encontrada na configuração de nódulo %s"
"None","Sem Validação"
"Not shared with other products","Não repetir para outros produtos"
"Problem loading the collection, aborting. Error: %s","Problema ao carregar coleção, abortar. Erro: %s"
"Problem saving the collection, aborting. Error: %s","Problema ao salvar coleção, abortar. Erro: %s"
"Required","Obrigatório"
"Saved %d record(s).","Total de %d registro(s) salvos."
"Source model ""%s"" not found for attribute ""%s""","Modelo base ""%s"" não encontrado para o atributo ""%s"""
"System","Sistema"
"Text Area","Campo Área de Texto"
"Text Field","Campo Texto"
"The attribute code \'%s\' is reserved by system. Please try another attribute code","O código do atributo \'%s\' é reservado pelo sistema. Tente outro código"
"The value of attribute ""%s"" must be unique.","O valor do atributo ""%s"" precisa ser único."
"This attribute is used in configurable products","Este atributo é usado em produtos configuráveis"
"URL","URL"
"Unique Value","Valor Único"
"Unique Value (not shared with other products)","Valor Único (não compartilhado com outros produtos)"
"Unknown parameter","Parâmetro desconhecido"
"Values Required","Campo Obrigatório"
"Wrong attribute group ID","Grupo de Atributo ID incorreto"
"Wrong attribute set ID","Atributo ID informado incorreto"
"Wrong entity ID","Entidade ID incorreto"
"Wrong type definition for %s","Definição de tipo incorreto para %s"
"Yes","Sim"
"Yes/No","Sim/Não"
