"Active","Ativo"
"Add Attribute Mapping","Novo Mapa de Atributos"
"Add New Attribute","Criar Atributo"
"Add to Google Base","Adicionar ao Google Base"
"Are you sure?","Você tem certeza?"
"Attribute","Atributo"
"Attribute Set","Grupo de Atributos"
"Attribute Set and Item Type","Grupo de Atributos e Tipo de Produto"
"Attributes","Atributos"
"Attributes Mapping","Mapear de Atributos"
"Attributes Set","Grupo de Atributos"
"AuthSub","AuthSub"
"Available Products","Produtos Disponíveis"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Moeda Base deve ser configurada para %s em %s na configuração do sistema. Caso contrário o preço do item não será correto no Google Base."
"Cannot update Google Base Item for Store '%s'","Não foi possível atualizar na loja o produto do Google Base '%s'"
"Captcha confirmation error: %s","Erro de confirmação do captcha: %s"
"Captcha has been confirmed.","Captcha confirmado."
"Catalog","Catálogo"
"Clicks","Cliques"
"ClientLogin","Login Cliente"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","Mapa atual será atualizado. Continuar?"
"Custom attribute, no mapping","Atributo personalizado, sem mapeamento"
"Delete","Excluir"
"Delete Mapping","Excluir Mapeamento"
"Edit Item Type","Editar Tipo de Produto"
"Edit Item Type ""%s""","Editar Tipo de Produto ""%s"""
"Error: %s","Erro: %s"
"Expires","Expira"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Atributo Google Base"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base Tipo de Produto"
"Google Base Item type","Google Base Tipo de produto"
"Google Base Items","Google Base Produtos"
"Google base","Google base"
"Hide","Ocultar"
"Hosted","Servidor"
"Hosted or Google","Servidor ou Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modelo de produto inválido para item do Google Base"
"Item Type was deleted","Tipo de produto foi excluído"
"Item Types","Tipos de Produto"
"Item model is not specified to delete Google Base entry.","Modelo de produto não foi informado para excluir entrada no Google Base."
"Items","Itens"
"Manage Attribute Mapping","Gerenciar Mapa de Atributos"
"Manage Attributes","Gerenciar Atributos"
"Manage Items","Gerenciar Itens"
"New Item Type","Novo Tipo de Produto"
"New ItemType","Novo Tipo Produto"
"No","Não"
"No items were deleted from Google Base","Nenhum produto foi excluído do Google Base"
"No items were published","Nenhum produto foi publicado"
"No items were saved as inactive items","Nenhum produto foi salvo como inativo"
"No products were added to Google Base","Nenhum produto foi adicionado ao Google Base"
"Object model is not specified to save Google Base entry.","Object model não informado para salvar entrada no Google Base."
"Please, select Attribute Set and Google Item Type to load attributes","Selecione um grupo de atributos e tipo de produto para carregar os atributos"
"Product Name","Nome do Produto"
"Publish","Publicar"
"Published","Publicado"
"Remove","Excluir"
"Save Mapping","Salvar"
"Session expired during export. Please revise exported products and repeat the process if necessary.","A sessão expirou durante a exportação. Revise os dados enviados e repita o processo se necessário."
"Synchronize","Sincronizar"
"Target Country","País Alvo"
"The item type has been saved.","O tipo do produto foi salvo."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta ação ira atualizar as estatísticas de produtos e ignorar produtos que não esta disponíveis no Google Base. Continuar?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Total de %d itens(s) excluído com sucesso, Total de %d itens(s) atualizados com sucesso."
"Total of %d items(s) have been published.","Total de %d produto(s) publicados."
"Total of %d items(s) have been removed from Google Base.","Total de %d produto(s) excluídos do Google Base."
"Total of %d items(s) have been saved as inactive items.","Total de %d produto(s) salvos como inativos."
"Total of %d product(s) have been added to Google Base.","Total de %d produto(s) adicionados ao Google Base."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Não foi possível conectar ao Google Base. Verifique as configurações de sua conta."
"Unable to select a Store View.","Não foi possível selecionar uma Visão."
"View Available Products","Visualizar Produtos Disponíveis"
"View Item in Google Base","Visualizar Produto no Google Base"
"Yes","Sim"
