"* Select shipping method","* Selecionar forma de entrega"
"2Day","2Dias"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"3 Day Select","3 Dias Selecionado"
"<br />Warning: <strong>%s</strong><br />","<br />Atenção: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Atenção!</strong> Esta opção desabilita o cálculo de frete pelo vendedor. Com esta opção, API do Google ignora qualquer valor que afete o preço do frete."
"A virtual item to reflect the discount total","Um item virtual para refletir o desconto total"
"A virtual item to reflect the tax total","Um item virtual para refletir o imposto total"
"AVS Status: %s","Status AVS: %s"
"Add Shipping Method","Adicionar Forma de Entrega"
"Allowed Methods","Métodos Permitidos"
"Amount: %s","Total: %s"
"Auto-generated from GoogleCheckout Charge","Gerar automaticamente através do carregamento do GoogleCheckout"
"Buyer Account Age: %s days","Tempo de Conta do Comprador: %s dias"
"CC Partial: xxxx-%s","CC Parcial: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Carrier Calculated Methods","Formas de Entrega Calculado"
"Cart Discount","Desconto no Carrinho"
"Checkout Image Style","Estilo Imagem Checkout"
"Commercial","Comercial"
"Continue Shopping URL","URL Continuar Comprando"
"Credit memo has been created automatically","Reembolso foi criado automaticamente"
"Debug","Debugar"
"Default Package Height (in)","Altura Padrão do Pacote (em)"
"Default Package Length (in)","Peso Padrão do Pacote (em)"
"Default Package Width (in)","Largura Padrão do Pacote (em)"
"Default Price for Methods","Preço padrão p/ Métodos"
"Default price:","Preço padrão:"
"Delivery Address Category","Categoria Endereço de Entrega"
"Delivery Schedule","Entrega Agendada"
"Description-based delivery","Entrega baseada em descrição"
"Disable Default Tax Tables","Tabela de Imposto Desativada por Padrão"
"Discount Tax","Taxa de Desconto"
"Eligible for Protection: %s","Elegíveis p/ Proteção: %s"
"Email delivery","Entrega por email"
"Enable","Habilitar"
"Enable Carrier Calculated","Habilitar Cálculo de Frete"
"Enable Digital Delivery","Habilitar Entrega Digital"
"Enable Flat Rate","Habilitar Tabela de Preços"
"Enable Merchant Calculated","Habilitar Negociante Calculado"
"Enable this if your checkout request is too big and being cut off.","Habilitar caso seu checkout for muito grande e começar a cortar."
"Expiration: %s","Expiração: %s"
"Express Mail","Express Mail"
"Express Saver","Express Saver"
"FedEx","FedEx"
"Financial: %s -> %s","Financeiro: %s -> %s"
"First Overnight","De um dia pro outro"
"Free Shipping","Frete Grátis"
"Fulfillment: %s -> %s","Satisfação: %s -> %s"
"Google API","API Google"
"Google Authorization:","Autorização Google:"
"Google Buyer ID: %s","Google ID do Comprador: %s"
"Google Charge:","Google Mudança:"
"Google Chargeback:","Google Estorno:"
