" in rows: "," em linhas: "
"%s file does not exists or is not readable","%s arquivo não existe ou não possui permissão"
"-- Please Select --","Selecione..."
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter precisa ser uma instância de Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Objeto Adapter precisa ser uma instância de %s"
"Adapter type must be a non empty string","Tipo do Adapter precisa ser preenchido"
"Append Complex Data","Append Complex Data"
"Attribute Code","Código do Atributo"
"Attribute Label","Descrição do Atributo"
"Attribute does not has options, so filtering is impossible","Atributo não possui opções, logo não é possível filtrar"
"Begin data validation","Iniciar validação de dados"
"Begin export of %s","Iniciar exportação para %s"
"Begin import of ""%s"" with ""%s"" behavior","Iniciar importação para ""%s"" com ""%s"" procedimento"
"CSV","CSV"
"Can not determine attribute filter type","Não foi possível determinar o tipo de filtro do atributo"
"Can not find required columns: ","Não foi possível encontrar as colunas obrigatórias: "
"Can not get autoincrement value","Não foi possível obter os valores auto-incrementados"
"Cannot get autoincrement value","Não foi possível recuperar valor de auto-incremento"
"Check Data","Verificar Dados"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Linhas verificadas: %d, registros verificados: %d, linhas inválidas: %d, total de erros: %d"
"Column names has duplicates","A coluna tem nomes duplicados"
"Column names have duplicates","A coluna possui nomes duplicados"
"Column names is empty or is not an array","Nomes das colunas estão em branco ou não são um array"
"Column names: ""%s"" are invalid","Nomes das Colunas: ""%s"" são inválidos"
"Continue","Continuar"
"Customers","Clientes"
"Data is invalid or file is not uploaded","Dados inválidos ou arquivo não enviado"
"Delete Entities","Excluir Entities"
"Destination directory is not writable","Diretório de destino sem permissão"
"Destination file is not writable","Arquivo de destino sem permissão"
"Destination file path must be a string","O caminho do diretório para o arquivo precisa ser uma string"
"Done import data validation","Validação de importação de dados finalizada"
"Duplicate Unique Attribute for '%s'","Atributo único duplicado para '%s'"
"Entity Attributes","Atributos Entity"
"Entity Type","Entity Type"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Objeto Entity Adapter precisa ser uma instância de Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Objeto entity adapter precisa ser uma instância de Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entity desconhecida"
