"%s Index process is working now. Please try run this process later.","%s Processo de indexação está em andamento. Tente executar este processo mais tarde."
"%s index was rebuilt.","%s índice foi reconstruído"
"'%s' Index Process Information","%s' Informações do Processo de Indexação"
"Action","Ação"
"Cannot initialize the indexer process.","Não foi possível iniciar o processo de indexação."
"Change Index Mode","Alterar Modo de Indexação"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Clique aqui para ir a página de <a href=""%s"">Gerenciamento de Cache</a> e atualizar todo cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Clique aqui para ir a página de <a href=""%s"">Gerenciamento de Índices</a> e reconstruir os índices obrigatórios."
"Delete","Excluir"
"Description","Descrição"
"Disable","Desabilitar"
"Enable","Habilitar"
"General","Geral"
"Index","Índices"
"Index Description","Descrição de Índices"
"Index Management","Gerenciar Índices"
"Index Mode","Modo Índice"
"Index Name","Nome do Índice"
"Index mode","Modo Índice"
"Indexer code is not defined.","Código do Índice não informado."
"Indexer model is not defined.","Modelo do Índice não informado."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Modelo do Índice precisa estender Mage_Index_Model_Indexer_Abstract."
"Manual Update","Atualização Manual"
"Mode","Modo"
"Never","Nunca"
"No","Não"
"One or more of the Indexes are not up to date:","Um ou mais índices não estão atualizados:"
"Please select Index(es)","Selecione os Índices"
"Please select Indexes","Selecione o Índice"
"Process Information","Informações do Processo"
"Processing","Processando"
"Ready","Pronto"
"Refresh","Atualizar"
"Reindex Data","Reindexar Dados"
"Reindex Required","Reindexação Obrigatória"
"Revoke","Anular"
"Status","Status"
"System","Sistema"
"The index has been saved.","O índice foi salvo."
"There was a problem with reindexing process.","Ocorreu um problema ao tentar reindexar."
"There was a problem with saving process.","Ocorreu um problema ao tentar salvar."
"Total of %d index(es) have changed index mode.","Total de %d índice(s) com modo de índice alterados."
"Total of %d index(es) have reindexed data.","Total de %d índice(s) foram reindexados."
"Update Required","Atualização Obrigatória"
"Update on Save","Atualizar ao Salvar"
"Updated At","Atualizado Em"
"Yes","Sim"
