"(Make sure you keep it in a safe place.)","(salve em lugar seguro)"
"(Optional. Leave blank for no prefix)","(Opcional. Deixe em branco para não usar prefixos)"
"(ver. %s)","(versão. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Endereço criado após a URL Base para acessar o backend (ex. admin, backend, control etc.)."
"Admin Path","Endereço do Admin"
"After successfull installation please click the button below.","Após instalação clique no botão abaixo."
"All packages were installed, click 'OK' to continue with installation.","Todos os pacotes foram instalados, clique em 'OK' para continuar a instalação."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativa de instalação 'Download Manual'."
"Base URL","URL Base"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Antes de acessar sua loja, anote sua chave de segurança (o sistema utiliza para criptografar senhas, cartões de créditos, e outros)."
"Check out our","Acesse nosso"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Marque essa opção apenas se não for possível verificar a URL Segura, por exemplo se uma autenticação via HTTP for necessária."
"Check this box only if it is not possible to automatically validate the Base URL.","Marque essa opção apenas se não for possível verificar a URL Base."
"Choose this if you would like to test frontend and backend functionality.","Escolha essa opção se você deseja testar as funcionalidades do frontend e backend."
"Configuration","Configurações"
"Confirm Password","Repetir Senha"
"Connection","Conexão"
"Continue","Avançar"
"Continue After Manual Download","Continuar Depois do Download Manual"
"Continue Full Download / SVN Installation","Continuar Download Completo / Instalação SVN"
"Create Admin Account","Criar Administrador"
"Currently this is the most stable state available for Magento packages.","No momento esta é a versão mais recente e estável do Magento."
"Database","Banco de Dados"
"Database Connection","Conexão com Banco de Dados"
"Database Name","Banco de Dados"
"Database Name cannot be empty.","Nome do Banco de Dados deve ser preenchido."
"Database Type","Tipo do Base de Dados"
"Database connection error.","Erro de conexão com Banco de Dados."
"Database host","Host do Banco de Dados"
"Database server does not support the InnoDB storage engine.","Servidor de Banco de Dados não possui suporte a InnoDB."
"Database user name","Nome de Usuário do Banco de Dados"
"Database user password","Senha de Usuário do Banco de Dados"
"Default Currency","Moeda Base"
"Download","Baixar Versão"
"Download Magento Core Modules and Updates","Baixar Atualizações e Módulos Core do Magento"
"Downloading and installing Magento, please wait...","Baixando e instalando o Magento, aguarde..."
"Email","Email"
"Email Address","Email"
"Enable Charts","Habilitar Gráficos"
"Enable this option if you want the charts to be displayed on Dashboard.","Habilite essa opção se você deseja exibir gráficos de desempenho no painel de administrador."
"Enable this option only if you have SSL available.","Marque essa opção apenas se você tiver um certificado SSL disponível."
"Encryption Key","Chave de Criptografia"
"File System","Arquivo de Sistema"
"First Name","Nome"
"Full Download / SVN Installation","Download Completo / Instalação SVN"
"Get ready to experience Open-Source eCommerce Evolved.","Prepare-se para uma nova experiência em Comércio Eletrônico Open-Source."
"Go to Backend","Acessar Backend"
"Go to Frontend","Acessar Frontend"
"Having trouble installing Magento?","Problemas ao instalar o Magento?"
"Help Us to Keep Magento Healthy","Ajude a manter a qualidade do Magento"
"Host","Servidor"
"I agree to the above terms and conditions.","Declaro que li e aceito os termos e condições."
"If you are a developer and would like to have the latest public updates, choose this option.","Se você é desenvolvedor e deseja ter as últimas atualizações da versão, escolha essa opção."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Se você está rodando PHP como CGI, seus processos PHP podem rodar com o mesmo usuário que você usa para fazer upload dos arquivos Magento."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Se você está executando a instalação automática em cima de uma versão previamente baixada e instalada do Magento, prossiga com este processo."
