" Copy"," Copiar"
"Action","Ação"
"Add New Template","Criar Modelo"
"Add to Queue","Colocar na Fila"
"Allow Guest Subscription","Permitir Assinatura de Visitantes"
"An error occurred while saving your subscription.","Ocorreu um erro ao salvar sua assinatura."
"Are you sure that you want to delete this template?","Deseja realmente excluir este modelo?"
"Are you sure that you want to strip all tags?","Deseja realmente retirar todas as tags?"
"Back","Voltar"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot mark as received subscriber.","Não foi possível verificar assinatura."
"Confirmation Email Sender","Enviar Email de Confirmação"
"Confirmation Email Template","Modelo de Email de Confirmação"
"Confirmation request has been sent.","Solicitação de confirmação foi enviado."
"Convert to Plain Text","Converter para Texto"
"Create Newsletter Template","Criar Modelo de Newsletter"
"Customer","Cliente"
"Customer First Name","Nome"
"Customer Last Name","Sobrenome"
"Customer My Account Newsletter Subscriptions","Cliente Minha Conta Newsletter Assinaturas"
"Date Added","Adicionado"
"Date Updated","Atualizado"
"Delete","Excluir"
"Delete Selected Problems","Excluir Problemas Selecionados"
"Delete Template","Excluir"
"Do you really want to cancel the queue?","Deseja realmente cancelar os envios?"
"Duplicate template code.","Código de modelo duplicado."
"Edit Newsletter","Editar Newsletter"
"Edit Newsletter Template","Editar Modelo de Newsletter"
"Edit Queue","Editar Fila de Envio"
"Edit Template","Editar Modelo"
"Email","Email"
"Enter your email address","Informe seu email"
"Error Code","Código de Erro"
"Error Text","Mensagem de Erro"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Clique neste link para cancelar assinatura <!-- Esta tag é um link para cancelar assinatura  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Visitante"
"ID","ID"
"Invalid queue selected.","Fila de envio selecionada é inválida."
"Invalid subscription ID.","ID da assinatura é inválido."
"Invalid subscription confirmation code.","Código de confirmação de assinatura é inválido."
"Message","Mensagem"
"Need to Confirm","Exigir Confirmação"
"New Newsletter Template","Novo Modelo de Email"
"New Template","Novo Modelo"
"Newsletter","Newsletter"
"Newsletter Message Preview","Resumo da Mensagem"
"Newsletter Problem Reports","Relatório de Problemas"
"Newsletter Queue","Fila de Envio"
"Newsletter Section","Seção"
"Newsletter Sign-up:","Entrar:"
"Newsletter Styles","Estilos"
"Newsletter Subscribers","Assinaturas"
"Newsletter Subscription","Assinar"
"Newsletter Subscription Form Before","Primeiro o Form de Inscrição"
"Newsletter Subscriptions","Newsletters Assinadas"
"Newsletter Templates","Modelos"
"Newsletter subscription confirmation","Confirmação de assinatura"
"Newsletter subscription success","Assinatura realizada com sucesso"
"Newsletter unsubscription success","Cancelamento feito com sucesso"
"No Templates Found","Nenhum Modelo Encontrado"
"No problems found.","Nenhum problema encontrado."
