"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' é muito grande. Ele precisa ter %min% símbolos."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' é muito curto. Ele precisa ter %min% símbolos."
"* Required Fields","*Campos Obrigatórios"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> solicitações de acesso à sua conta"
"Admin","Admin"
"After authorization application will have access to you account.","Depois de autorizado a solicitação você terá acesso à conta."
"An error occurred on confirm authorize.","Ocorreu um erro ao confirmar autorização."
"An error occurred on delete action.","Ocorreu um erro ao excluir ação."
"An error occurred on delete application.","Ocorreu um erro ao excluir a solicitação."
"An error occurred on reject authorize.","Ocorreu um erro ao rejeitar autorização."
"An error occurred on saving consumer data.","Ocorreu um erro ao salvar informações do cliente."
"An error occurred on update revoke status.","Ocorreu um erro na atualização de status de revogação."
"An error occurred while deleting the consumer.","Ocorreu um erro enquanto exluia cliente."
"An error occurred.","Ocorreu um erro."
"An error occurred. Your authorization request is invalid.","Ocorreu um erro. Seu pedido de autorização é inválido."
"App Name","Nome"
"Application ""%s"" has been deleted.","Solicitação ""%s"" foi excluida."
"Application ""%s"" has been enabled.","Solicitação ""%s"" foi aceita."
"Application ""%s"" has been revoked.","Solicitação ""%s"" foi rejeitada."
"Application Name","Nome"
"Application not found.","Solicitação não encontrada."
"Are you sure you want to delete this application?","Deseja realmente excluir esta solicitação?"
"Are you sure you want to disable this application?","Deseja realmente negar essa solicitação?"
"Are you sure you want to enable this application?","Deseja realmente aceitar essa solicitação?"
"Authorization confirmed","Autorização confirmada"
"Authorization confirmed.","Autorização confirmada."
"Authorize","Autorizar"
"Authorize application","Autorizar solicitação"
"Authorized Tokens","Autorizar Símbolos (Tokens)"
"Callback URL","URL de Retorno"
"Cleanup Probability","Probabilidade de Limpeza"
"Cleanup Settings","Configurações de Limpeza"
"Close","Fechar"
"Confirm OAuth token authorization","Confirmação de autorização por token OAuth"
"Confirm token authorization Pop Up for admin","Popup de confirmação de autorização por token pelo admin"
"Confirm token authorization for admin","Confirmação de autorização por token pelo admin"
"Confirmation Of Authorization","Confirmação de Autorização"
"Consumer Information","Informação do Consumidor"
"Consumer Name","Nome do Consumidor"
"Consumers","Consumidor"
"Created At","Criado Em"
"Current Admin Password","Senha Atual"
"Customer","Cliente"
"Customer My Account My OAuth Applications","Cliente Minha Conta Minhas Solicitações OAuth"
"Delete","Excluir"
"Disable","Desabilitar"
"Disabled","Desabilitado"
"Edit","Editar"
"Edit Consumer","Editar Consumidor"
"Email","Email"
"Email Address","Email"
"Enable","Habilitar"
"Enabled","Habilitado"
"Entry with ID #%s not found.","ID #%s não encontrado."
"Expiration Period","Período de Validade"
"Give the verifier code to application administrator","Forneça o código de verificação da solicitação ao administrador"
"ID","ID"
"Invalid Callback URL","URL de Retorno Inválida"
"Invalid ID parameter.","Parâmetro ID Inválido."
"Invalid Rejected Callback URL","URL de Retorno Rejeitada"
"Invalid entry ID.","ID Inválido."
"Invalid revoke status.","Status Rejeitado."
"Key","Chave"
"Log In","Entrar"
"Log in as a customer","Entrar como um cliente"
"Log in as admin","Entrar como administrador"
"Log in as customer","Entrar como cliente"
"Log in to use <strong>%s</strong>","Entrar e usar <strong>%s</strong>"
"Login","Entrar"
"My Applications","Minhas Solicitações"
"Name","Nome"
"New Consumer","Adicionar Cliente"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin Meus Apps"
"OAuth Authorized Tokens","OAuth Tokens Autorizados"
"OAuth Consumers","OAuth Consumidores"
"OAuth authorization Pop Up for customer","Popup OAuth autorização para cliente"
"OAuth authorization for admin","OAuth autorização para admin"
"OAuth authorization for customer","OAuth autorização para cliente"
"OAuth authorization simple for admin","OAuth autorização simples do admin"
"Password","Senha"
"Permissions","Permissões"
"Please login to proceed authorization.","Acesse sua conga para solicitar autorização."
"Please select needed row(s).","Selecione as linhas necessárias."
"Please select revoke status.","Selecione status rejeitado."
"REST - My Apps","REST - Meus Apps"
"REST - OAuth Authorized Tokens","REST - OAuth Tokens Autorizados"
"REST - OAuth Consumers","REST - OAuth Consumidores"
"Reject","Rejeitar"
"Reject OAuth token authorization","Rejeitar autorização de token OAuth"
"Reject authorization","Rejeitar autorização"
"Reject token authorization Pop Up for admin","Popup rejeitar autorização de tork para admin"
"Reject token authorization for admin","Rejeitar autorização de token para admin"
"Rejected Callback URL","URL de Retorno Rejeitada"
"Rejection Of Authorization","Autorização Rejeitada"
"Revoked","Revogado"
"Role Name","Nome da Regra"
"Save","Salvar"
"Save and Continue Edit","Salvar e Continuar"
"Secret","Secreto"
"Selected entries enabled.","Opções selecionadas habilitadas."
"Selected entries has been deleted.","Opções selecionadas foram excluídas."
"Selected entries revoked.","Opções selecionadas rejeitadas."
"Status","Status"
"System","Sistema"
"The application access request is rejected.","A solicitação de acesso ao aplicativo foi rejeitado."
"The consumer has been deleted.","O consumidor foi excluido."
"The consumer has been saved.","O consumidor foi salvo."
"Token Status Change","Alterar Status do Token"
"Token Status Change Email Template","Modelo de Email de Alteração de Token"
"Unable to find a consumer.","Consumidor não foi encontrado."
"User ID","ID do Usuário"
"User Name","Nome do Usuário"
"User Type","Tipo de Usuário"
"Verifier code: %s","Código de verificação: %s"
"You have no applications.","Você não possui solicitações."
"deleted","excluido"
"enabled","aceito"
"revoked","rejeitado"
