"An error occurred while clearing the external full page cache.","Ocorreu um erro ao limpar o cache extra de páginas."
"Cookie Lifetime (seconds)","Tempo de Vida do Cookie (segundos)"
"Enable External Cache","Habilitar Cache Extra"
"External Cache Control","Controle de Cache Extra"
"External Full Page Cache Settings","Opções de Cache Extra para Páginas"
"External Page Cache","Página de Cache Extra"
"External full page cache.","Cache extra para páginas."
"Failed to load external cache control","Falha ao carregar controle de cache extra"
"Flush External Page Cache","Liberar Cache Extra das Páginas"
"If empty, default value will be used.","Se vazio, valor padrão será usado."
"The external full page cache has been cleaned.","O cache extra para páginas foi limpo."
"Zend Full Page Cache","Zend Cache de Páginas"
