"Abandoned Carts","Carrinhos Abandonados"
"Abandoned carts","Carrinhos abandonados"
"Action","Ações"
"Add to Cart","Comprar"
"Add to Compare","Comparar"
"Add to Wishlist","Favoritos"
"Any","Qualquer"
"Applied Coupon","Usar Cupom"
"Applies to Any of the Specified Order Statuses","Aplicar para Qualquer Status de Pedido Selecionado"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Tem certeza que deseja atualizar o período das estatísticas? Isto pode impactar na performance durante o processo."
"Are you sure?","Você tem certeza?"
"Avg. Approved Rating","Média Aprovada"
"Avg. Rating","Avaliação Média"
"Bestsellers","Mais Vendidos"
"Bought from wishlists","Comprado dos favoritos"
"CSV","CSV"
"Carts","Carrinhos"
"Catalog Category (Without Subcategories)","Catálogo da Categoria (Sem as Subcategorias)"
"Compared Products Grid Template","Modelo de Comparação de Produtos em Tabela"
"Compared Products List Template","Modelo de Comparação de Produtos em Lista"
"Coupons","Cupons"
"Coupons Usage Report","Relatório de Cupons Utilizados"
"Created At","Criado em"
"Current Month Starts","O Mês Inicia"
"Customer","Cliente"
"Customer Name","Nome do Cliente"
"Customer Tags","Tags do Cliente"
"Customers","Clientes"
"Customers Report","Relatório Clientes"
"Customers Reviews","Comentários dos Clientes"
"Customers Tags","Tags Clientes"
"Customers by Number of Orders","Clientes por Número de Pedidos"
"Customers by Orders Total","Clientes por Total de Pedidos"
"Customers by number of orders","Clientes por Número de Pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers that have wishlist: %s%","Clientes que possuem lista de favoritos: %s%"
"Dashboard","Painel"
"Day","Dia"
"Default Recently Compared Products Count","Quantidade de Produtos Comparados Recentemente"
"Default Recently Viewed Products Count","Quantidade de Produtos Visualizados Recentemente"
"Description","Descrição"
"Detail","Detalhes"
"Downloads","Downloads"
"Email","Email"
"Empty Rows","Linhas Em Branco"
"Excel XML","Excel XML"
"Filter","Filtrar"
"First Name","Nome"
"From","De"
"Guest","Visitante"
"Hits","Cliques"
"ID","ID"
"IP Address","Endereço IP"
"Index model name must be defined","Nome do modelo indexado precisa ser informado"
"Invalid date specified.","Data inválida."
"Invoiced","Faturado"
"Items in Cart","Itens no Carrinho"
"Last Name","Sobrenome"
"Last Review","Último Comentário"
"Link","Link"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista dos Produtos Recentemente Comparados e Removidos da Lista de Comparação pelo Cliente"
"List of Products Recently Viewed by Visitor","Lista dos Produtos Recentemente Visualizados pelos Clientes"
"Low Stock","Baixo Estoque"
"Low stock","Baixo estoque"
"Match Period To","Coincidir Período Para"
"Month","Mês"
"Most Viewed","Mais Populares"
"Name","Nome"
"New Accounts","Novos Cadastros"
"No","Não"
"Number Added","Número Adicionado"
"Number Fulfilled","Número Realizado"
"Number Of Reviews","Número de Comentários"
"Number Purchased","Número de Compras"
"Number Viewed","Número de Visualizações"
"Number of Items","Número de Itens"
"Number of New Accounts","Número de Novas Contas"
"Number of Products to display","Número de Produtos apresentados"
"Number of Reviews","Número de Comentários"
"Number of Times Deleted","Número de Vezes Excluído"
"Number of Total Tags","Número de Tags ao Total"
"Number of Unique Tags","Número de Tags Únicas"
"Number of Views","Núm. Visitas"
"Number of items bought from a wishlist: %s","Número de itens favoritados: %s"
"Number of times wishlists have been shared (emailed): %s","Número de compartilhamento de favoritos (por email): %s"
"Number of wishlist conversions: %s","Número de vendas realizados pela lista de favoritos: %s"
"Number of wishlist referrals: %s","Número de referências a favoritos: %s"
"Number of wishlists: %s","Número de listas de favoritos: %s"
"Order Status","Situação do Pedido"
"Order Taxes Report Grouped by Tax Rate","Relatório de Imposto Agruado por Cálculo"
"Orders","Pedidos"
"Out of stock","Sem Estoque"
"Period","Período"
"Poducts Report","Relatório de Produtos"
"Popular Tags","Tags Populares"
"Popularity","Popularidade"
"Price","Preço"
"Product Name","Nome"
"Product Reviews","Produtos Comentados"
"Product SKU","SKU"
"Product Tags","Tags"
"Products","Produtos"
"Products Ordered","Produtos Comprados"
"Products Report","Produtos Relacionados"
"Products Reviews","Produtos Comentados"
"Products Tags","Tags Produtos"
"Products in carts","Produtos em carrinho"
"Purchases","Comprados"
"Quantity Ordered","Quantidade de Vendas"
"Quantity of Items","Quantidade de Itens"
"Recently Compared","Comparados Recentemente"
"Recently Compared Products","Produtos Comparados Recentemente"
"Recently Viewed","Visualizados Recentemente"
"Recently Viewed Products","Produtos Visualizados Recentemente"
"Recently Viewed/Compared Products","Produtos Visualizados/Comparados Recentemente"
"Refresh Lifetime Statistics","Atualizar Período Estatísticas"
"Refresh Statistics","Atualizar Estatísticas"
"Refresh Statistics for the Last Day","Atualizar Estatísticas do Último Dia"
"Refunds","Restituições"
"Report","Relatório"
"Reports","Relatórios"
"Results","Resultados"
"Revenue","Lucro"
"Review","Análise"
"Reviews","Análises"
"Reviews for %s","Análises para %s"
"Sales","Vendas"
"Sales Report","Relatório de Vendas"
"Search Query","Termos Digitados"
"Search Terms","Termos Pesquisados"
"Select day of the month.","Selecione um dia do mês."
"Shipping","Entrega"
"Shopping Cart","Carrinho"
"Shopping Cart Price Rule","Regras de Preço do Carrinho"
"Show Actual Values","Exibir Valores Atuais"
"Show Report","Exibir Relatório"
"Show for Current","Exibir no Ambiente"
"Specified","Especificado"
"Statistics","Estatísticas"
"Stock Qty","Qtd em Estoque"
"Submitted In","Enviado Em"
"Submitted On","Enviado Sobre"
"Subtotal","Subtotal"
"Tag","Tag"
"Tag ""%s"" details","Tag ""%s"" detalhes"
"Tag Detail","Tag Detalhes"
"Tag Name","Tag"
"Tag Use","Uso de Tag"
"Tags Submitted by %s","Tags Enviada por %s"
"Tags submitted to %s","Tags Enviada para %s"
"Tax","Imposto"
"Title","Título"
"To","Para"
"Total","Total"
"Total Invoiced vs. Paid Report","Relatório de Faturas vs. Pagamentos"
"Total Ordered Report","Relatório de Pedidos"
"Total Refunded Report","Relatório de Reembolsos"
"Total Shipped Report","Relatório de Entregas"
"Total Tags","Total Tags"
"Total invoiced","Total faturado"
"Total refunded","Total reembolsado"
"Updated At","Atualizado em"
"Viewed Products Grid Template","Modelo de Produtos Visualizados em Tabela"
"Viewed Products List Template","Modelo de Produtos Visualizados em Lista"
"Visible In","Visível Em"
"Wishlist Report","Relatório de Favoritos"
"Wishlist vs. Regular Order","Favoritos vs. Pedidos Regulares"
"Wishlists","Favoritos"
"Year","Ano"
"Year-To-Date Starts","Iniciar na Data"
"Yes","Sim"
"Your Recently Compared","Comparações Recentes"
"Your Recently Viewed","Visualizados Recentemente"
"undefined","indefinido"
