"""%s"" coupon code is not valid.","""%s"" cupom não é válido."
"%s","%s"
"%s / %s rate:","%s / %s imposto:"
"%s for %s","%s por %s"
"%s order(s) cannot be canceled","%s pedido(s) não pode ser cancelado"
"%s order(s) have been canceled.","%s pedido(s) foram cancelados."
"%s order(s) have been put on hold.","%s pedido(s) em espera."
"%s order(s) have been released from holding status.","%s pedido(s) liberados da situação de espera."
"%s order(s) were not put on hold.","%s pedido(s) que não foram colocados na espera."
"%s order(s) were not released from holding status.","%s pedido(s) que não foram liberados da situação de espera."
"* - Enter custom price excluding tax","* - Informe o preço personalizado excluindo imposto"
"* - Enter custom price including tax","* - Informe o preço personalizado incluindo imposto"
"* Required Fields","* Campos Obrigatórios"
"-- Please Select --","Selecione..."
"-- Please Select Billing Agreement--","Selecione Termos de Cobrança"
"About This Order:","Sobre Este Pedido:"
"About This Profile:","Sobre Este Perfil:"
"About Your Invoice","Sobre Sua Fatura"
"About Your Order","Sobre Seu Pedido"
"About Your Refund","Sobre Seu Reembolso"
"About Your Shipment","Sobre Sua Entrega"
"Accept Payment","Pagamento Aceito"
"Accept or Deny Payment","Aceitar ou Recusar Pagamento"
"Account Information","Informações do Cliente"
"Action","Ação"
"Actions","Ações"
"Activate","Ativado"
"Active","Ativar"
"Add","Adicionar"
"Add New Address","Novo Endereço"
"Add Order Comments","Incluir Comentários"
"Add Package","Adicionar Pacote"
"Add Products","Criar Produtos"
"Add Selected Product(s) to Option","Adicionar Produtos Selecionados para Opção"
"Add Selected Product(s) to Order","Adicionar Produtos Selecionados ao Pedido"
"Add Selected Product(s) to Package","Adicionar Produtos Selecionados ao Pacote"
"Add To Order","Adicionar ao Pedido"
"Add Tracking Number","Incluir Rastreador"
"Add comment to order","Incluir comentário no pedido"
"Add new comment to credit memo","Incluir novo comentário no reembolso"
"Add new comment to shipment","Incluir novo comentário a entrega"
"Add new tracking number","Incluir Novo Rastreador"
"Add to Cart","Comprar"
"Additional Product Info","Informação Adicional do Produto"
"Address","Endereço"
"Address model is not defined.","Modelo de endereço não foi definido."
"Adjustment Fee","Taxa de Manutenção"
"Adjustment Refund","Ajustar Reembolso"
"Agreement Information","Informações de Termos e Condições"
"Allow Reorder","Permitir Recompra"
"Amount","Valor"
"Amount: %s.","Valor: %s."
"An error occurred while assigning order status. Status has not been assigned.","Ocorreu um erro ao atribuir status ao pedido. Status não foi atribuído."
"An error occurred while creating shipping label.","Ocorreu um erro na criação da etiqueta de envio."
"An error occurred while saving order status. The status has not been added.","Ocorreu um erro ao salvar status do pedido. O status não foi adicionado."
"An error occurred while unassigning order status.","Ocorreu um erro ao cancelar atribuição de status ao pedido."
"An error occurred while updating the order address. The address has not been changed.","Ocorreu um erro ao atualizar o endereço do pedido. O endereço não foi alterado."
"An item option with code %s already exists.","Uma opção do produto com código %s já existe."
"Anchor Custom Title","Link com Título Personalizado"
"Append Comments","Anexar Comentários"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar Cupom Promocional"
"Approved the payment online.","Pagamento online aprovado."
"Are you sure you want to accept this payment?","Deseja realmente aceitar este pagamento?"
"Are you sure you want to cancel this order?","Deseja realmente cancelar este pedido?"
"Are you sure you want to delete all items from shopping cart?","Deseja realmente remover todos os produtos do carrinho?"
"Are you sure you want to deny this payment?","Deseja realmente recusar este pagamento?"
"Are you sure you want to do this?","Você tem absoluta certeza?"
