"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Regra de Preço no Carrinho de Compras baseado no atributo ""%s"" foi desabilitado."
"%s Coupon(s) have been generated","%s Cupom(s) gerado(s)"
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Criar Regra"
"Alphabetical","Alfabetico"
"Alphanumeric","Alfanumérico"
"An error occurred while generating coupons. Please review the log and try again.","Ocorreu um erro ao gerar os cupons. Veja o log e tente novamente."
"Apply","Aplicar"
"Apply To","Aplicar Para"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar regra somente para as seguintes condições (deixe em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar regra somente para os itens do carrinho com as condições abaixo (deixe em branco para todos os itens)"
"Apply the rule to cart items matching the following conditions","Aplicar regra para os itens do carrinho que coincidem com as seguintes condições"
"Apply to Shipping Amount","Aplicar ao Valor de Entrega"
"Are you sure you want to delete the selected coupon(s)?","Deseja realmente excluir os cupons selecionados?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Gerar Automaticamente Códigos de Cupons Específicos"
"Buy X get Y free (discount amount is Y)","Compre X leve Y Grátis"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Porcentagem"
"Can\'t acquire coupon.","Não foi possível obter o cupom."
"Cart Attribute","Atributos do Carrinho"
"Catalog","Catálogo"
"Code Format","Formato do Código"
"Code Length","Tamanho do Código"
"Code Prefix","Prefixo do Código"
"Code Suffix","Sufixo do Código"
"Conditions","Condições"
"Conditions combination","Condições de combinação"
"Coupon","Cupom"
"Coupon Code","Código do  Cupom"
"Coupon Qty","Qtd do Cupom"
"Coupon with the same code","Cupom com mesmo código"
"Coupons Information","Informações de Cupons"
"Created On","Criado"
"Customer Groups","Grupo de Clientes"
"Dash Every X Characters","Traço a Cada X Caracteres"
"Date Expire","Expira"
"Date Start","Inicia"
"Default Label","Legenda Padrão"
"Default Rule Label for All Store Views","Legenda Padrão de Regra para Todas as Visões"
"Description","Descrição"
"Discount Amount","Valor do Desconto"
"Discount Qty Step (Buy X)","Qtd p/ Obter Desconto (Compre X)"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Excluding prefix, suffix and separators.","Excluindo prefixo, sufixo, e separadores."
"FOUND","ENCONTRADO"
"Fixed amount discount","Desconto fixo"
"Fixed amount discount for whole cart","Desconto fixo para todo carrinho"
"For matching items only","Apenas para os produtos"
"For shipment with matching items","Para entrega com itens iguais"
"Free Shipping","Frete Grátis"
"From Date","Da Data"
"General Information","Informações Gerais"
"Generate","Gerar"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Se %s %s %s para uma subseleção de itens do carrinho forem iguais as  %s condições:"
"If an item is %s in the cart with %s of these conditions true:","Se um item estiver %s neste carrinho com %s dessas condições:"
"If empty no separation.","Se vazio sem separação."
"If you select and save the rule you will be able to generate multiple coupon codes.","Se você selecionou e salvou a regra você então pode gerar múltilos códigos de cupom."
"Inactive","Inativo"
"Item totals are not set for rule.","Total de itens não foram especificados para esta regra."
"Labels","Legendas"
"Manage Coupon Codes","Gerenciar Código de Cupons"
"Maximum Qty Discount is Applied To","Máx. de Produtos com Desconto"
"NOT FOUND","NÃO ENCONTRADO"
"NOT LOGGED IN","QUALQUER UM"
"New Rule","Nova Regra"
"No","Não"
"No Coupon","Sem Cupom"
