" for more information or "," para mais informações ou "
"# of Items (and above)","# de Itens (e acima)"
"# of Items vs. Destination","# de Itens vs. Destino"
"Allow Shipping to Multiple Addresses","Permitir Entrega para Vários Endereços"
"An error occurred while import table rates.","Ocorreu um erro ao importar tabela de cálculos (table rate)."
"Calculate Handling Fee","Calcular Valor de Embalagem"
"Carrier:","Transporte:"
"City","Cidade"
"Close Window","Fechar Janela"
"Condition","Condição"
"Country","País"
"Custom Value","Valor Customizado"
"Date","Data"
"Delivered on:","Entregue em:"
"Delivered to:","Entregue para:"
"Description","Descrição"
"Displayed Error Message","Mensagem de Erro Apresentada"
"Divide to equal weight (one request)","Dividir o peso igualmente (um envio)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Linha Duplicada #%s (País ""%s"", Estado ""%s"", Cep ""%s"" e Valor ""%s"")."
"Enabled","Habilitado"
"Error:","Erro:"
"Export","Exportar"
"File has not been imported. See the following list of errors: %s","Arquivo não foi importado. Veja a seguinte lista de erros: %s"
"Fixed","Fixo"
"Flat Rate","Valor Fixo"
"Free Shipping","Entrega Grátis"
"Google Sitemap Section","Seção Google Sitemap"
"Handling Fee","Embalagem"
"Import","Importar"
"Include Virtual Products in Price Calculation","Incluir Produto Virtual no Cálculo de Preço"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s.","Inválido %s ""%s"" na Linha #%s."
"Invalid Country ""%s"" in the Row #%s.","País Inválido ""%s"" na Linha #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Estado Inválido ""%s"" na Linha #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Valor de Frete Inválido ""%s"" na Lina #%s."
"Invalid Table Rate code for type %s: %s","Código da Tabela de Cálculo inválido para o tipo %s: %s"
"Invalid Table Rate code type: %s","Tipo de código da Tabela de Cálculo inválido: %s"
"Invalid Table Rates File Format","Formato do arquivo da Tabela de Cálculo inválido"
"Invalid Table Rates format in the Row #%s","Formato da Tabela de Cálculo inválido na Linha #%s"
"Local Time","Hora local"
"Location","Localização"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qtd Máxima Permitida para Múltiplos Endereços"
"Method Name","Nome do Método"
"Minimum Order Amount","Valor Mínimo do Pedido"
"N/A","N/A"
"None","Nenhum"
"Options","Opções de Endereçamento"
"Order Subtotal (and above)","Subtotal Pedido (e acima)"
"Origin","Origem do Envio"
"Per Order","Por Ordem"
"Per Package","Por Pacote"
"Percent","Porcentagem"
"Price","Preço"
"Price vs. Destination","Preço vs. Destino"
"Region/State","Estado"
"Service Type:","Tipo de Serviço:"
"Ship to Applicable Countries","Entrega Permitida para Países"
"Ship to Specific Countries","Entrega para Países Específicos"
"Shipment #","Entrega #"
"Shipment Tracking Popup","Popup Rastrear Entrega"
"Shipped or billed on:","Entregue ou faturado em:"
"Shipping Methods","Formas de Entrega"
"Shipping Methods Section","Seção Formas de Entrega"
"Shipping Settings","Configurações de Entrega"
"Shipping Settings Section","Seção Configuração de Entrega"
"Show Method if Not Applicable","Exibir Forma se não disponível"
"Signed by:","Assinado por:"
"Sort Order","Ordem"
"Status:","Status:"
"Store Pickup","Retirar na loja"
"Street Address","Endereço"
"Street Address Line 2","Complemento"
"Table Rates","Tabela de Cálculo"
"The shipping module is not available for selected delivery country.","Não existe meio de entrega disponível para o País selecionado."
"The shipping module is not available.","Meio de entrega não está disponível."
"There is no tracking available for this shipment.","Não existe rastreador disponível para esta entrega."
"There is no tracking available.","Não existe rastreador disponível."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Esta forma de entrega não esta disponível no momento. Se você deseja usar esta forma de entrega, entre em contato."
"This shipping method is not available, please specify ZIP-code","Esta forma de entrega não está disponível, informe o CEP"
"Title","Título"
"Track:","Rastreador:"
"Tracking Information","Informação de Rastreamento"
"Tracking Number:","Número Rastreador:"
"Tracking information is currently not available. Please ","Informações de rastreamento não disponíveis no momento. Aguarde "
"Tracking information is currently unavailable.","Informações de rastreamento indisponíveis no momento."
"Type","Tipo"
"Use origin weight (few requests)","Usar peso original (poucos envios)"
"Weight (and above)","Peso (e acima)"
"Weight vs. Destination","Peso vs. Destino"
"Weight:","Peso:"
"ZIP/Postal Code","CEP"
"contact us","entre em contato"
"email us at ","email para "
