"# of Uses","# de Usuários"
"%s tag(s) have been accepted for moderation.","%s tag(s) precisa ser aprovado pelo moderador."
"<strong>Tag Name:</strong> %s","<strong>Tag:</strong> %s"
"Action","Ação"
"Add","Adicionar"
"Add New Tag","Criar Tag"
"Add Tags","Adicionar"
"Add Your Tags:","Minhas Tags:"
"Add tag(s) to product","Adicionar tag(s) ao produto"
"Add to Cart","Comprar"
"Add to Wishlist","Adicionar aos Favoritos"
"All Tags","Todas Tags"
"Approved","Aprovado"
"Are you sure you want to delete this tag?","Tem certeza que deseja excluir esta tag?"
"Are you sure you want to do this?","Tem certeza de que deseja fazer isto?"
"Are you sure?","Você tem certeza?"
"Back","Voltar"
"Back to Tags List","Voltar"
"Base Popularity","Base Popularidade"
"Block Information","Bloco de Informação"
"CSV","CSV"
"Catalog Product View","Visualizar Catálogo de Produto"
"Change status","Alterar status"
"Click on a tag to view your corresponding products.","Clique na tag para ver os produtos correspondentes."
"Country","País"
"Customer My Account My Tags List","Cliente Minha Conta Listar Minhas Tags"
"Customer My Account Tag View","Cliente Minha Conta Ver Tag"
"Customer Since","Cliente Desde"
"Customers","Clientes"
"Customers Submitted this Tag","Clientes Enviaram esta Tag"
"Customers Tagged '%s'","Tags dos Clientes '%s'"
"Delete","Excluir"
"Delete Tag","Excluir"
"Disabled","Desaprovado"
"Edit Tag '%s'","Editar Tag '%s'"
"Email","Email"
"First Name","Nome"
"General Information","Informações Gerais"
"Grid","Tabela"
"ID","ID"
"Info","Info"
"Last Name","Sobrenome"
"List","Listar"
"Manage Tags","Gerenciar Tags"
"My Recent Tags","Marquei Recentemente"
"My Tags","Minhas Tags"
"Name","Nome"
"New Tag","Nova Tag"
"No matches found.","Nenhum resultado encontrado."
"Other people marked this product with these tags:","Tags adicionadas por outros clientes:"
"Pending","Pendente"
"Pending Tags","Tags Pendentes"
"Popular","Popular"
"Popular Tags","Tags Populares"
"Price","Preço"
"Product Name","Nome"
"Product SKU","SKU"
"Product Tag API","API de Tag"
"Product Tags","Tags do Produto"
"Products","Produtos"
"Products Tagged by Administrators","Tags Criadas por Administradores"
"Products Tagged by Customers","Tags Criadas por Clientes"
"Products Tagged with '%s'","Tags dos Produtos com '%s'"
"Products tagged with '%s'","Tags dos produtos com '%s'"
"Rebuild Tag aggregation data","Associação entre tags e produtos"
"Remove","Excluir"
"Remove product tag","Excluir tag do produto"
"Retrieve list of tags by product","Recuperar lista de tags por produto"
"Retrieve product tag info","Recuperar informação de tags do produto"
"SKU","SKU"
"Save Tag","Salvar"
"Save and Continue Edit","Salvar e Continuar"
"Status","Status"
"Store View","Visão"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Esta tag ""%s"" já existe para este produto."
"Tag ""%s"" has been added to the product.","Esta tag ""%s"" foi adicionada ao produto."
"Tag ""%s"" has been rejected by administrator.","Esta tag ""%s"" já foi recusada pelo administrador."
"Tag Aggregation Data","Tags dos Produtos"
"Tag Name","Tag"
"Tagged Products List","Lista de Produtos com Tags"
"Tags","Tags"
"Tags List (All Available)","Lista de Tags (Todos Disponíveis)"
"Tags List Before","Primeiro a Lista de Tags"
"Tags:","Tags:"
"Telephone","Telefone"
"The tag has been deleted.","A tag foi excluída."
"There are no tags available.","Não há tags disponíveis."
"Unable to find any products tagged with '%s' in the current store","Não foi encontrado nenhum produto com a tag '%s' na loja selecionada"
"Unable to remove tag. Please, try again later.","Não foi possível excluir a tag. Tente novamente."
"Unable to save tag(s).","Não foi possível salvar tag(s)."
"Update","Atualizar"
"Update product tag","Atualizar tag do produto"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espaços para separar as tags. E aspas simples (') para frases."
"View All Tags","Ver todos"
"View Customers","Ver Clientes"
"View Products","Ver Produtos"
"XML","XML"
"You have not tagged any products yet.","Você não marcou nenhuma tag ainda."
"ZIP/Post Code","CEP"
"[STORE VIEW]","[VISÃO]"
