"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - para todos; 'xyz*' - que começam com; 'xyz' - e igual a %d."
"-- Please Select --","Selecione..."
"Add New Class","Criar Categoria de Imposto"
"Add New Tax Rate","Criar Cálculo de Imposto"
"Add New Tax Rule","Criar Regra de Imposto"
"After Discount","Depois do Desconto"
"An error occurred while deleting this rate.","Ocorreu um erro ao tentar excluir este cálculo."
"An error occurred while deleting this rate. Incorrect rate ID.","Ocorreu um erro ao tentar excluir este cálculo. ID do cálculo incorreto."
"An error occurred while deleting this tax class.","Ocorreu um erro ao tentar excluir esta categoria."
"An error occurred while deleting this tax rule.","Ocorreu um erro ao tentar excluir este imposto."
"An error occurred while saving this tax class.","Ocorreu um erro ao tentar salvar esta categoria."
"An error occurred while saving this tax class. A class with the same name already exists.","Ocorreu um erro ao tentar salvar esta categoria. Já existe uma categoria com este nome."
"Apply Customer Tax","Aplicar Imposto ao Cliente"
"Apply Discount On Prices","Aplicar Desconto nos Preços"
"Apply Tax On","Aplicar Imposto em"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","O imposto aplicado em descontos é calculado com base no imposto da loja, se 'Aplicar imposto depois do desconto' for selecionado."
"Are you sure you want to do this?","Tem certeza que deseja fazer isso?"
"Back","Voltar"
"Before Discount","Antes do Desconto"
"CSV","CSV"
"Calculate off subtotal only","Calcular apenas o subtotal off"
"Calculation Settings","Configurações de Cálculo"
"Catalog Prices","Preços do Catálogo"
"Class Name","Nome"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Clique aqui para acessar <a href=""%s"">Configuração de Taxas</a> e alterar suas configurações."
"Code","Código"
"Country","País"
"Custom price if available","Preço customizado se disponível"
"Customer Tax Class","Categoria de Imposto p/ Cliente"
"Customer Tax Class Information","Informações de Categoria de Imposto p/ Cliente"
"Customer Tax Classes","Categorias de Imposto p/ Cliente"
"Default Country","País"
"Default Post Code","Cep"
"Default State","Estado"
"Default Tax Destination Calculation","Cálculo de Imposto Padrão para Destinos"
"Delete Class","Excluir"
"Delete Rate","Excluir"
"Delete Rule","Excluir"
"Display Full Tax Summary","Exibir Resumo de Todo Imposto"
"Display Prices","Exibir Preços"
"Display Product Prices In Catalog","Exibir Preços dos Produtos no Catálogo"
"Display Shipping Amount","Exibir Total da Entrega"
"Display Shipping Prices","Exibir Valores da Entrega"
