" was not delivered nor scanned"," não foi entregue nem digitalizado"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Por Pedido"" permitir taxa de embalagem única para todo pedido. ""Por Pacote"" permitir taxa de embalagem individual para cada pacote."
"1 Day Freight","1 Dia Frete"
"2 Day","2 Dia"
"2 Day AM","2 Dias AM"
"2 Day Freight","2 Dias Frete"
"2Day","2Dia"
"2nd Day Air","2nd Dia no Ar"
"2nd Day Air AM","2nd Dia no Ar AM"
"2nd Day Air AM Letter","2nd Dia no Ar AM Carta"
"2nd Day Air Letter","2nd Dia no Ar Carta"
"3 Day Freight","3 Dias Frete"
"3 Day Select","3 Dias Selecionar"
"Access ID","ID de Acesso"
"Access License Number","Número da Licença de Acesso"
"Account ID","ID da Conta"
"Account Number","Número da conta"
"Additional Protection Configuration Value","Configurar Seguro Adicional"
"Additional Protection Enabled","Seguro de Entrega Habilitado"
"Additional Protection Min Subtotal","Subtotal Mínimo p/ Valor de Seguro"
"Additional Protection Value","Valor de Seguro"
"Additional Protection Value Rounding Method","Valor de Seguro Arredondado"
"Adult","Adulto"
"Adult Signature Required","Obrigatória Assinatura de um Adulto"
"Allowed Methods","Métodos permitidos"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Permitir separar entrega em vários pacotes menores se o peso exceder %s %s para garantir economia de despesas no envio."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Permitir separar entrega em vários pacotes menores se o peso exceder 70kg para garantir economia de despesas no envio."
"Bound Printed Matter","Limite de Impressão"
"Break bulk economy","Granel econômico"
"Break bulk express","Granel express"
"Business Service Center","Centro de Serviço de Negócios"
"Calculate Handling Fee","Calcular Valor de Embalagem"
"Canada Standard","Canada Standard"
"Cannot identify measure unit for %s","Não é possível identificar unidade de medida para %s"
"Cannot identify weight unit for %s","Não é possível identificar unidade de peso para %s"
"Cannot retrieve shipping rates","Não foi possível recuperar valores do frete"
"Centimeters","Centímetros"
"Commercial","Comercial"
"Configuration","Configuração"
"Container","Caixa"
"Content Type","Tipo de Conteúdo"
"Customer Packaging","Embalagem do Cliente"
"Customer Supplied Package","Pacote Fornecido pelo Cliente"
"Customer services","Serviços ao cliente"
"DHL","DHL - Empresa de Logística"
"DHL (Deprecated)","DHL (Desatualizado)"
"DHL service is not available at %s date","Serviço DHL não está disponível na data %s"
"Debug","Debug"
"Default Package Height","Altura Padrão do Pacote"
"Default Package Length","Peso Padrão do Pacote"
"Default Package Width","Largura Padrão do Pacote"
"Delivered","Entregue"
"Delivery Confirmation","Confirmação de Entrega"
"Depth","Fundo"
"Destination Type","Tipo de Destinatário"
"Destination facility code is empty","Código de acesso do destino não informado"
"Development","Desenvolvimento"
"Direct","Direto"
"Displayed Error Message","Exibindo Mensagem de Erro"
"Divide Order Weight","Dividir Peso do Pedido"
"Documents","Documentos"
"Domestic Shipment Days","Dias de Entrega Domésticos"
"Domestic economy select","Selecionar doméstico econômico"
"Domestic express","Doméstico express"
"Drop Box","Caixa Perdida"
"Dropoff","Devolução"
"Easy shop","Compra fácil"
"Economy select","Selecionar economico"
"Empty response","Sem resposta"
"Enable Negotiated Rates","Permitir Negociação de Taxas"
"Enabled for Checkout","Habilitar Checkout"
"Enables/Disables SSL verification of Magento server by UPS.","Habilitar/Desabilitar verificação SSL do servidor Magento por UPS."
"Error #%s : %s","Error #%s : %s"
"Error #%s : %s (%s)","Erro #%s : %s (%s)"
"Error #%s: %s","Erro #%s: %s"
"Europack","Europack"
"Europe First Priority","Europa Primeira Prioridade"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Taxa de câmbio %s (Moeda Base) -> %s não encontrado. DHL forma %s ignorado"
"Express","Expresso"
"Express 10:30","Expresso 10:30"
"Express 10:30 AM","Expresso 10:30 AM"
"Express 12:00","Expresso 12:00"
"Express 9:00","Expresso 9:00"
"Express Mail","Carta Expressa"
"Express Saturday","Sábado Expresso"
"Express Saver","Econômico Expresso"
"Express easy","Express easy"
"Express envelope","Express envelope"
"Express worldwide","Express worldwide"
"Failed to parse xml document: %s","Falha ao recuperar documento xml: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx Caixa de 10kg"
"FedEx 25kg Box","FedEx Caixa de 25kg"
"FedEx Box","FedEx Caixa"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pacote"
"FedEx Tube","FedEx Tubo"
"First Overnight","Primeira Noite"
"First-Class","First-Class"
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"First-Class Mail Large Envelope","First-Class Mail Large Envelope"
"First-Class Mail Large Postcards","First-Class Mail Large Postcards"
"First-Class Mail Letter","First-Class Mail Letter"
"First-Class Mail Parcel","First-Class Mail Parcel"
"First-Class Mail Postcards","First-Class Mail Postcards"
"First-Class Package International Service","First-Class Package International Service"
"First-Class Package Service","First-Class Package Service"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup"
"Flat","Fixo"
"Flat-Rate Box","Taxa Fixa Caixa"
"Flat-Rate Envelope","Taxa Fixa Envelope"
"Free Method","Grátis"
"Free Shipping with Minimum Order Amount","Entrega Grátis p/ Valores Acima de"
"Freight","Transporte"
"Freight worldwide","Transporte worldwide"
"Gateway URL","Gateway URL"
"Gateway XML URL","URL Gateway XML"
"Gift","Presente"
"Girth","Circuferência"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
