"All Websites","Todos os Sistemas"
"Apply Discounts To FPT","Aplicar Desconto para FPT"
"Apply Tax To FPT","Aplicar Imposto para FPT"
"Display Prices In Emails","Exibir Preços nos Emails"
"Display Prices In Product Lists","Exibir Preços nas Listas de Produtos"
"Display Prices In Sales Modules","Exibir Preços nos Módulos de Vendas"
"Display Prices On Product View Page","Exibir Preços na Visualização do Produto"
"Enable FPT","Habilitar FPT"
"Excluding FPT","Excluindo FPT"
"Excluding FPT, FPT description, final price","Excluindo FPT, descrição do FPT, preço final"
"FPT Tax Configuration","FPT Configuração de Impostos"
"Fixed Product Tax","Imposto Fixo no Produto"
"Fixed Product Taxes","Impostos Fixos no Produto"
"Include FPT In Subtotal","Incluir FPT no Subtotal"
"Including FPT and FPT description","Incluindo FPT e descrição"
"Including FPT and FPT description [incl. FPT VAT]","Incluindo FPT e descrição [incl. FPT VAT]"
"Including FPT only","Incluindo apenas FPT"
"Loaded and Displayed with Tax","Carregar e Exibir com Impostos"
"Not Taxed","Não Taxado"
"Taxed","Taxado"
"Total","Total"
"Total Incl. Tax","Total Incl. Imposto"
"Total excl. tax","Total excl. imposto"
"Total incl. tax","Total incl. imposto"
"Total:","Total:"
