" But cart has some errors."," Mas o carrinho possui alguns erros."
" Note: Image size affects the performance of your app."," Atenção: Tamanho da imagem afeta a performance do seu app."
"""Description"" is more than %d characters long","""Descrição"" possui mais de %d caracteres"
"""Title"" is more than %d characters long","""Título"" possui mais de %d caracteres"
"""id"" attribute is required for a ""%s"" field.","""id"" é obrigatório para o campo ""%s""."
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" é obrigatório para campos ""multiline""."
"""message"" attribute is required for ""%s"" validator rule.","""message"" é obrigatório para validar regras ""%s""."
"%1$s has been added to your wishlist.","%1$s foi adicionado aos favoritos."
"%1$s incl tax.","%1$s incluindo imposto."
"%@ is not correct","%@ não é o correto"
"%s API Key required.","%s Chave de API obrigatório."
"%s Application ID required.","%s ID da Aplicação obrigatório."
"%s Secret Key required.","%s Chave Secreta obrigatório."
"%s attribute is required.","%s atributo é obrigatório."
"%s fields is required","%s campos são obrigatórios"
"%s has been added to your cart.","%s foi adicionado no carrinho."
"%s id:","%s id:"
"%s was updated in your shopping cart.","%s foi atualizado em seu carrinho de compras."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Possui mais países do que listado abaixo. Como proprietário do sistema, é sua responsabilidade cumprir com as leis específicas de cada país onde for distribuído ou vendido seu sistema, incluindo seu próprio país.)"
"* - field is required","* - campo é obrigatório"
"*Subject to change","*Sujeito a alterações"
"1. Please select type of the action:","1. Selecione o tipo de ação:"
"10:40 AM","10:40 AM"
"2. Please select a page","2. Selecione uma página"
"2. Type Category Name","2. Nome da Categoria"
"2. Type Product Name","2. Nome do Produto"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Login</a> para Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Um App Exclusivo de Catálogo não suporta funções como adicionar ao carrinho, favoritos, ou login."
"A new password has been sent.","Uma nova senha foi enviada."
"About","Sobre"
"Access forbidden","Acesso negado"
"Account","Conta"
"Account Information","Informações de Conta"
"Account Settings","Configurações de Conta"
"Account confirmation is required. Please check your email for the confirmation link.","É preciso confirmar conta. Verifique seu Email e utilize o link de confirmação."
"Account information has been saved.","Informações de conta foram salvas."
"Action","Ação"
"Action type does\'t recognized","Tipo de ação não reconhecido"
"Action type does\'t recognized.","Tipo de ação não reconhecido."
